country_of_origin,region,harvest_year,variety,processing_method,altitude_mean_meters,total_cup_points
ethiopia,guji-hambela,2014,other,washed-wet,2075.0,89.92
guatemala,,,bourbon,,1700.0,89.75
ethiopia,guji-hambela,2014,other,washed-wet,2075.0,88.83
peru,,2012,other,washed-wet,,88.75
ethiopia,"snnp/kaffa zone,gimbowereda",2014,other,natural-dry,1822.5,88.25
united states,antioquia,2014,other,washed-wet,1872.0,87.92
united states,antioquia,2014,other,washed-wet,1943.0,87.92
united states,antioquia,2014,other,washed-wet,2080.0,87.58
china,yunnan,2015,catimor,washed-wet,1450.0,87.25
united states,antioquia,2014,other,washed-wet,2019.0,87.25
costa rica,san ramon,2014,caturra,washed-wet,1300.0,87.17
mexico,xalapa,2012,other,washed-wet,1320.0,87.17
united states,antioquia,2014,other,washed-wet,2112.0,87.08
brazil,south of minas,2011,bourbon,natural-dry,1250.0,86.92
uganda,kapchorwa eastern,2013,sl14,washed-wet,1950.0,86.83
honduras,comayagua,2016,caturra,,1400.0,86.67
brazil,vale da grama,2011,bourbon,natural-dry,1300.0,86.42
costa rica,west and central valley,2015,caturra,washed-wet,1300.0,86.33
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,86.25
united states,antioquia,2014,other,washed-wet,1941.0,86.17
thailand,chiang rai,2012,caturra,washed-wet,1300.0,86.17
taiwan,natou county,2015,bourbon,semi-washed-semi-pulped,1000.0,86.08
kenya,nyeri,2014,sl28,natural-dry,1754.0,86.08
brazil,south of minas,2011,bourbon,semi-washed-semi-pulped,1250.0,86.08
colombia,tolima,2013,caturra,washed-wet,1200.0,86.0
kenya,kiambu,2013,sl28,washed-wet,1860.0,86.0
uganda,"sipi, mt elgon",2012,other,washed-wet,1650.0,86.0
guatemala,nuevo oriente,2016,bourbon,washed-wet,,85.92
uganda,eastern,2013,sl14,natural-dry,1650.0,85.92
colombia,huila,2013,caturra,washed-wet,1800.0,85.92
panama,boquete,2017,gesha,washed-wet,1600.0,85.83
guatemala,acatenango,2012,bourbon,washed-wet,1524.0,85.83
guatemala,nuevo oriente,2012,catuai,washed-wet,1417.32,85.83
ethiopia,addis ababa,2017,caturra,natural-dry,,85.75
el salvador,apaneca,2013,bourbon,washed-wet,1500.0,85.58
el salvador,"ataco, apaneca - ilamatepec mountain range",2012,bourbon,semi-washed-semi-pulped,1350.0,85.58
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,85.58
panama,boquete,2014,caturra,natural-dry,1680.0,85.5
kenya,kirinyaga,2014,sl28,natural-dry,1900.0,85.5
ethiopia,oromia,2015,other,natural-dry,1900.0,85.5
uganda,bulambuli eastern region,2013,sl14,washed-wet,1600.0,85.5
guatemala,huehuetenango,2013,bourbon,washed-wet,1731.264,85.5
uganda,kapchorwa,2013,sl14,washed-wet,1950.0,85.42
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,85.42
brazil,south of minas,2011,bourbon,semi-washed-semi-pulped,1250.0,85.42
china,yunnan,2015,catimor,natural-dry,1700.0,85.33
costa rica,west valley,2014,caturra,washed-wet,1300.0,85.33
costa rica,san ramon,2014,caturra,washed-wet,1300.0,85.33
ethiopia,yirgacheffe,2009,typica,,,85.33
guatemala,oriente,2016,bourbon,,,85.25
colombia,santander,2015,caturra,washed-wet,1550.0,85.25
colombia,santander,2014,caturra,natural-dry,1550.0,85.25
guatemala,huehuetenango,2012,caturra,washed-wet,1400.0,85.17
ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",2016,other,natural-dry,,85.08
colombia,pasto,2015,caturra,natural-dry,2560.0,85.08
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,85.08
colombia,cundinamarca,2012,caturra,natural-dry,2136.0,85.08
uganda,eastern uganda,2016,sl14,washed-wet,1800.0,85.0
colombia,huila,2016,caturra,washed-wet,,85.0
costa rica,tarrazu,2016,catuai,washed-wet,1900.0,85.0
mexico,veracruz,2015,typica,washed-wet,1300.0,85.0
brazil,grama valley,2012,mundo novo,natural-dry,1100.0,85.0
colombia,huila,2016,caturra,washed-wet,,84.92
colombia,huila,2015,caturra,washed-wet,1775.0,84.92
taiwan,natou county,2015,typica,semi-washed-semi-pulped,800.0,84.92
"tanzania, united republic of",mbeya,2014,other,washed-wet,1620.0,84.92
colombia,huila,2012,caturra,washed-wet,1775.0,84.92
mexico,coatepec,2012,typica,semi-washed-semi-pulped,1200.0,84.92
brazil,south of minas,2011,bourbon,natural-dry,1200.0,84.92
brazil,south of minas,2011,catuai,natural-dry,1000.0,84.92
taiwan,"dongshan dist., tainan city 臺南市東山區",2016,typica,natural-dry,350.0,84.83
uganda,eastern,2013,sl14,natural-dry,1650.0,84.83
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,84.83
thailand,thailand,2015,caturra,pulped natural-honey,,84.75
honduras,marcala,2014,catuai,washed-wet,1450.0,84.75
el salvador,apaneca,2016,bourbon,washed-wet,1350.0,84.67
costa rica,tarrazu,2015,catuai,washed-wet,1150.0,84.67
guatemala,acatenango,2015,bourbon,washed-wet,1600.0,84.67
costa rica,tarrazu,2014,caturra,washed-wet,1750.0,84.67
costa rica,costa rica,2014,other,other,1750.0,84.67
costa rica,west valley,2014,catuai,washed-wet,1200.0,84.67
taiwan,taichung xinshe 台中市新社區,2013,typica,washed-wet,1000.0,84.67
colombia,santander,2013,caturra,washed-wet,1550.0,84.67
kenya,nyeri,2012,sl28,washed-wet,2000.0,84.67
guatemala,oriente,2012,bourbon,washed-wet,1310.64,84.67
guatemala,acatenango,2012,bourbon,washed-wet,1524.0,84.67
mexico,el remudadero,2012,typica,washed-wet,1200.0,84.67
uganda,mbale,2012,other,washed-wet,1775.0,84.67
colombia,santander,2016,other,washed-wet,1500.0,84.58
colombia,huila,2016,caturra,washed-wet,,84.58
guatemala,jalapa,2014,pacas,washed-wet,1524.0,84.58
guatemala,oriente,2014,bourbon,washed-wet,1219.2,84.58
colombia,santander,2013,caturra,washed-wet,1550.0,84.58
colombia,huila,2013,caturra,washed-wet,1750.0,84.58
kenya,,2013,sl28,washed-wet,,84.58
colombia,huila,2012,caturra,washed-wet,1750.0,84.58
costa rica,tres rios,2012,bourbon,semi-washed-semi-pulped,1575.0,84.58
colombia,huila,2012,caturra,washed-wet,1800.0,84.58
brazil,vale da grama,2011,bourbon,semi-washed-semi-pulped,1300.0,84.58
brazil,mountains of minas gerais,2011,catuai,semi-washed-semi-pulped,1100.0,84.58
costa rica,valle central,2017,caturra,washed-wet,1200.0,84.5
uganda,eastern uganda,2016,sl14,washed-wet,1750.0,84.5
china,yunnan,2015,catimor,washed-wet,1680.0,84.5
costa rica,tarrazu,2014,caturra,washed-wet,1700.0,84.5
colombia,cauca,2015,other,washed-wet,1800.0,84.5
china,yunnan,2013,other,washed-wet,1100.0,84.5
guatemala,oriente,2013,bourbon,washed-wet,1310.64,84.5
kenya,nyeri,2012,sl28,washed-wet,2000.0,84.5
mexico,hustusco,2012,typica,washed-wet,1350.0,84.5
mexico,jaltenango,2012,typica,washed-wet,1500.0,84.5
guatemala,"el tumbador, san marcos",2012,bourbon,washed-wet,,84.5
costa rica,tarrazu,2016,caturra,washed-wet,1300.0,84.42
colombia,pitalito,2015,caturra,natural-dry,,84.42
colombia,huila,2014,caturra,washed-wet,1775.0,84.42
taiwan,"mountain ali, taiwan",2012,typica,washed-wet,1200.0,84.42
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,84.42
kenya,nyeri,2017,sl28,washed-wet,1800.0,84.33
honduras,comayagua,2016,caturra,,1500.0,84.33
colombia,huila,2016,caturra,washed-wet,,84.33
honduras,central region,2016,catuai,washed-wet,1500.0,84.33
colombia,huila,2015,caturra,natural-dry,442.0,84.33
colombia,huila,2013,caturra,washed-wet,1800.0,84.33
mexico,tuxtla gutierrez,2012,typica,washed-wet,1700.0,84.33
brazil,vale da grama,2011,yellow bourbon,,1275.0,84.33
taiwan,國姓鄉 guoshing township,2016,typica,washed-wet,1000.0,84.25
thailand,chiang rai thailand,2015,catimor,natural-dry,1200.0,84.25
colombia,nariño,2016,caturra,natural-dry,2560.0,84.25
guatemala,antigua,2016,caturra,washed-wet,1500.0,84.25
guatemala,huehuetenango,2015,caturra,washed-wet,1099.4136,84.25
china,yunnan,2015,catimor,natural-dry,1400.0,84.25
colombia,huila,2015,caturra,washed-wet,1775.0,84.25
colombia,huila,2015,caturra,washed-wet,1775.0,84.25
colombia,cauca,2015,other,washed-wet,1800.0,84.25
colombia,huila,2015,caturra,natural-dry,442.0,84.25
"tanzania, united republic of",shizingo village,2014,other,washed-wet,1620.0,84.25
"tanzania, united republic of",mbeya,2014,other,washed-wet,1600.0,84.25
guatemala,oriente,2014,bourbon,other,1219.2,84.25
colombia,cauca,2013,caturra,washed-wet,1700.0,84.25
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,84.25
mexico,san pedro cotzilnam,2012,typica,semi-washed-semi-pulped,1450.0,84.25
mexico,veracruz,2012,bourbon,washed-wet,1170.0,84.25
mexico,"la concordia, chiapas",2012,bourbon,washed-wet,1400.0,84.25
uganda,kasese,2012,other,natural-dry,1700.0,84.25
guatemala,san marcos,2017,bourbon,washed-wet,1700.0,84.17
colombia,huila,2016,caturra,washed-wet,,84.17
costa rica,tarrazu,2016,caturra,washed-wet,1700.0,84.17
guatemala,huehuetenango,2016,caturra,washed-wet,1116.7872,84.17
guatemala,solola,2016,caturra,washed-wet,1565.0,84.17
guatemala,norte,2016,bourbon,washed-wet,3280.0,84.17
colombia,huila,2015,caturra,washed-wet,1775.0,84.17
nicaragua,jinotega,2015,caturra,natural-dry,1000.0,84.17
brazil,cerrado,2015,catuai,natural-dry,1150.0,84.17
costa rica,tarrazu,2014,caturra,washed-wet,1850.0,84.17
ethiopia,snnprg; kafa; telo woreda; shada kebele,2014,gesha,natural-dry,1606.5,84.17
"tanzania, united republic of",arusha,2014,other,washed-wet,1400.0,84.17
colombia,huila,2014,other,washed-wet,1530.0,84.17
kenya,kenya,2013,sl28,washed-wet,250.5,84.17
brazil,"minas gerais, br",2012,mundo novo,natural-dry,1038.5,84.17
guatemala,oriente,2013,bourbon,washed-wet,1310.64,84.17
el salvador,apaneca,2013,bourbon,natural-dry,1500.0,84.17
colombia,huila,2012,caturra,washed-wet,1750.0,84.17
guatemala,guatemala,2012,catuai,natural-dry,,84.17
uganda,mt. rwenzori,2012,other,washed-wet,1600.0,84.17
colombia,huila,2017,caturra,washed-wet,442.0,84.08
taiwan,"nanxi dist., tainan city 臺南市楠西區",2016,typica,washed-wet,968.0,84.08
guatemala,oriente,2016,bourbon,washed-wet,,84.08
colombia,huila,2014,caturra,washed-wet,1775.0,84.08
guatemala,"aldea xeucalvitz, ixil region, quiche department",2014,bourbon,washed-wet,1550.0,84.08
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,84.08
mexico,santo domingo cacalotepec,2012,typica,washed-wet,1480.0,84.08
ethiopia,"ethiopia, sidamo",2012,other,natural-dry,1800.0,84.08
ethiopia,sidamo,2017,gesha,natural-dry,1800.0,84.0
honduras,comayagua,2017,caturra,washed-wet,1500.0,84.0
guatemala,huehuetenango,2015,caturra,washed-wet,1706.88,84.0
colombia,huila,2014,other,washed-wet,1600.0,84.0
guatemala,oriente,2014,bourbon,natural-dry,1219.2,84.0
guatemala,oriente,2014,bourbon,other,1219.2,84.0
colombia,santander,2014,caturra,natural-dry,1450.0,84.0
colombia,huila,2014,caturra,washed-wet,1775.0,84.0
ethiopia,sidamo,2013,other,natural-dry,1550.0,84.0
brazil,south of minas,2013,yellow bourbon,natural-dry,1260.0,84.0
colombia,cauca,2013,caturra,washed-wet,1700.0,84.0
thailand,thailand,2012,other,washed-wet,,84.0
kenya,central kenya,2012,sl28,washed-wet,1650.0,84.0
uganda,kasese,2012,other,washed-wet,1700.0,84.0
brazil,south of minas,2017,bourbon,natural-dry,890.0,83.92
mexico,veracruz,2017,mundo novo,washed-wet,1300.0,83.92
thailand,chiangrai,2015,catimor,natural-dry,1350.0,83.92
brazil,south of minas,2016,bourbon,natural-dry,934.0,83.92
taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",2015,typica,washed-wet,1200.0,83.92
colombia,huila,2014,caturra,washed-wet,1775.0,83.92
taiwan,台中和平區,2014,typica,washed-wet,950.0,83.92
colombia,santander,2014,caturra,natural-dry,1550.0,83.92
mexico,xicotepec de juarez,2012,typica,washed-wet,900.0,83.92
mexico,la concordia,2012,typica,washed-wet,1500.0,83.92
mexico,la yerbabuena,2012,typica,washed-wet,1400.0,83.92
colombia,nariño,2017,caturra,washed-wet,2527.0,83.83
colombia,huila,2016,caturra,,,83.83
costa rica,tarrazu,2015,caturra,washed-wet,1850.0,83.83
guatemala,antigua,2016,bourbon,washed-wet,1500.0,83.83
taiwan,"dongshan dist., tainan city 臺南市東山區",2014,typica,washed-wet,525.0,83.83
brazil,south of minas,2014,bourbon,semi-washed-semi-pulped,1200.0,83.83
costa rica,central valley,2013,catuai,washed-wet,1300.0,83.83
guatemala,oriente,2014,bourbon,washed-wet,1219.2,83.83
brazil,south of minas,2013,yellow bourbon,natural-dry,1260.0,83.83
colombia,huila,2013,caturra,washed-wet,1750.0,83.83
guatemala,oriente,2013,bourbon,washed-wet,1310.64,83.83
mexico,petatlan,2012,bourbon,natural-dry,1218.0,83.83
mexico,"la concordia, chiapas",2012,pacas,natural-dry,1300.0,83.83
brazil,carmo de minas,2011,yellow bourbon,semi-washed-semi-pulped,1250.0,83.83
kenya,nyeri,,sl28,washed-wet,1800.0,83.75
brazil,south of minas,2017,bourbon,natural-dry,890.0,83.75
colombia,huila,2017,caturra,washed-wet,442.0,83.75
taiwan,"台南市東山區 (dongshan dist., tainan city)",2016,typica,natural-dry,750.0,83.75
china,yunnan,2015,catimor,washed-wet,1650.0,83.75
colombia,huila,2015,caturra,natural-dry,442.0,83.75
uganda,west nile,2013,bourbon,natural-dry,1400.0,83.75
united states (puerto rico),yauco region,2013,other,washed-wet,853.44,83.75
colombia,huila,2014,caturra,washed-wet,1775.0,83.75
colombia,huila,2014,other,washed-wet,1550.0,83.75
colombia,huila,2013,caturra,washed-wet,1750.0,83.75
colombia,huila,2013,caturra,washed-wet,1750.0,83.75
united states (hawaii),kona,2013,hawaiian kona,natural-dry,,83.75
mexico,"huazalingo, hidalgo",2012,caturra,natural-dry,700.0,83.75
guatemala,quetzaltenango,2012,caturra,washed-wet,1300.0,83.75
brazil,south of minas,2017,bourbon,natural-dry,890.0,83.67
kenya,meru county,2017,sl28,washed-wet,1700.0,83.67
honduras,comayagua,2016,caturra,washed-wet,1400.0,83.67
nicaragua,jinotega,2016,caturra,washed-wet,1250.0,83.67
brazil,south of minas,2016,bourbon,natural-dry,934.0,83.67
taiwan,"leye, alishan township, chiayi county",2015,caturra,natural-dry,1200.0,83.67
colombia,huila,2014,caturra,washed-wet,1625.0,83.67
guatemala,huehuetenango,2014,bourbon,washed-wet,1356.6648,83.67
colombia,huila supremo,2013,caturra,washed-wet,1750.0,83.67
colombia,huila,2013,caturra,washed-wet,1900.0,83.67
guatemala,oriente,2013,bourbon,washed-wet,1310.64,83.67
guatemala,oriente,2013,bourbon,washed-wet,1310.64,83.67
colombia,huila,2012,caturra,washed-wet,1750.0,83.67
guatemala,oriente,2012,caturra,natural-dry,1450.0,83.67
guatemala,oriente,2012,bourbon,washed-wet,1310.64,83.67
mexico,xicotepec de juarez,2012,typica,washed-wet,1100.0,83.67
indonesia,east java,2012,typica,washed-wet,1400.0,83.67
guatemala,"sacatepequez, guatemala",2012,caturra,washed-wet,1524.0,83.67
brazil,south of minas,2017,bourbon,natural-dry,890.0,83.58
guatemala,huehuetenango,2016,caturra,washed-wet,1128.3696,83.58
colombia,huila,2016,caturra,washed-wet,,83.58
china,yunnan,2015,catimor,washed-wet,1100.0,83.58
colombia,huila,2015,caturra,washed-wet,1775.0,83.58
mexico,"chiapas, jaltenango",2014,caturra,washed-wet,1200.0,83.58
ethiopia,yirgacheffe,2014,other,washed-wet,1850.0,83.58
uganda,eastern,2013,sl14,washed-wet,1800.0,83.58
colombia,cundinamarca,2014,caturra,natural-dry,1600.0,83.58
colombia,santander,2014,caturra,washed-wet,1550.0,83.58
colombia,santander,2014,caturra,washed-wet,1550.0,83.58
taiwan,taichung xinshe 台中市新社區,2013,typica,other,1000.0,83.58
colombia,huila,2012,caturra,washed-wet,1775.0,83.58
mexico,xalapa,2012,typica,washed-wet,1000.0,83.58
colombia,cundinamarca,2012,caturra,natural-dry,2136.0,83.58
brazil,south of minas,2012,catuai,semi-washed-semi-pulped,1100.0,83.58
colombia,cundinamarca,2016,caturra,washed-wet,1799.0,83.5
costa rica,tarrazu,2015,caturra,washed-wet,1850.0,83.5
colombia,pitalito,2016,caturra,natural-dry,1000.0,83.5
guatemala,oriente,2016,bourbon,washed-wet,1219.2,83.5
colombia,huila,2015,caturra,washed-wet,1775.0,83.5
colombia,huila,2014,caturra,washed-wet,1850.0,83.5
guatemala,atitlan,2013,caturra,washed-wet,1400.0,83.5
colombia,cundinamarca,2014,caturra,washed-wet,1650.0,83.5
honduras,comayagua,2014,caturra,natural-dry,1350.0,83.5
colombia,huila,2013,caturra,washed-wet,1750.0,83.5
colombia,huila,2013,caturra,washed-wet,1750.0,83.5
mexico,xalapa,2012,bourbon,natural-dry,1170.0,83.5
mexico,chilón,2012,typica,semi-washed-semi-pulped,940.0,83.5
guatemala,atitlan,2012,caturra,washed-wet,1524.0,83.5
colombia,huila,2012,caturra,washed-wet,1775.0,83.5
guatemala,oriente,2012,bourbon,washed-wet,1402.08,83.5
colombia,huila,2017,caturra,washed-wet,439.0,83.42
guatemala,san marcos,2017,bourbon,washed-wet,1700.0,83.42
colombia,huila,2016,caturra,washed-wet,442.0,83.42
costa rica,tarrazu,2016,caturra,washed-wet,1850.0,83.42
uganda,eastern,2015,sl14,washed-wet,1800.0,83.42
thailand,thailand,2015,catimor,washed-wet,1200.0,83.42
el salvador,apaneca,2016,bourbon,washed-wet,1330.0,83.42
colombia,huila,2015,caturra,natural-dry,442.0,83.42
brazil,vale da grama,2014,yellow bourbon,semi-washed-semi-pulped,,83.42
"tanzania, united republic of",karatu northern,2014,bourbon,washed-wet,1600.0,83.42
colombia,huila,2014,caturra,washed-wet,1813.0,83.42
guatemala,oriente,2013,bourbon,natural-dry,1219.2,83.42
guatemala,antigua,2014,caturra,washed-wet,1500.0,83.42
guatemala,oriente,2013,bourbon,washed-wet,1310.64,83.42
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,83.42
colombia,cundinamarca,2012,caturra,washed-wet,1450.0,83.42
colombia,huila,2016,caturra,washed-wet,1650.0,83.33
colombia,guayata,2016,caturra,washed-wet,,83.33
colombia,huila,2016,caturra,washed-wet,,83.33
brazil,south of minas,2015,catuai,semi-washed-semi-pulped,1227.0,83.33
mexico,chiapas,2014,caturra,washed-wet,1200.0,83.33
colombia,santander,2015,caturra,washed-wet,1650.0,83.33
"tanzania, united republic of",arusha,2014,other,semi-washed-semi-pulped,1700.0,83.33
mexico,veracruz,2013,other,washed-wet,1100.0,83.33
costa rica,san ramon,2014,caturra,washed-wet,1300.0,83.33
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,83.33
costa rica,central valley,2013,catuai,washed-wet,1200.0,83.33
haiti,"thiotte, haiti",2012,typica,washed-wet,1280.16,83.33
colombia,pitalito,2013,caturra,natural-dry,1000.0,83.33
guatemala,oriente,2013,bourbon,washed-wet,1310.64,83.33
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,83.33
burundi,kayanza,2012,bourbon,washed-wet,1880.0,83.33
colombia,huila,2012,caturra,washed-wet,1750.0,83.33
mexico,sierra madre occidental,2017,typica,washed-wet,1600.0,83.25
costa rica,tarrazu,2016,catuai,pulped natural-honey,1900.0,83.25
guatemala,nuevo oriente,2016,pacas,washed-wet,2100.0,83.25
uganda,"sipi, mt elgon",2015,sl14,washed-wet,,83.25
colombia,huila,2015,caturra,natural-dry,442.0,83.25
mexico,cuarenteño,2015,typica,natural-dry,1261.0,83.25
taiwan,natou county,2015,bourbon,washed-wet,1000.0,83.25
taiwan,南投國姓,2014,typica,washed-wet,800.0,83.25
colombia,eje cafetero,2014,caturra,natural-dry,1483.0,83.25
guatemala,antigua,2014,caturra,washed-wet,1500.0,83.25
colombia,huila,2013,caturra,washed-wet,1750.0,83.25
mexico,chiapas,2013,bourbon,washed-wet,1300.0,83.25
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,83.25
mexico,veracruz,2012,mundo novo,washed-wet,,83.25
mexico,fortín de las flores,2012,caturra,washed-wet,1000.0,83.25
guatemala,oriente,2012,bourbon,washed-wet,1310.64,83.25
brazil,grama valley,2012,yellow bourbon,semi-washed-semi-pulped,1200.0,83.25
colombia,la plata,2012,caturra,washed-wet,1775.0,83.25
brazil,south of minas,2017,bourbon,natural-dry,890.0,83.17
guatemala,oriente,2017,bourbon,washed-wet,1901.0,83.17
vietnam,dala,2017,catimor,natural-dry,1550.0,83.17
guatemala,antigua,2016,caturra,washed-wet,1500.0,83.17
honduras,marcala,2016,catuai,washed-wet,1450.0,83.17
china,yunnan,2015,catimor,washed-wet,1200.0,83.17
china,dehong prefecture,2015,catimor,washed-wet,1600.0,83.17
el salvador,apaneca,2016,bourbon,washed-wet,1350.0,83.17
guatemala,antigua,2015,bourbon,washed-wet,1500.0,83.17
guatemala,oriente,2015,bourbon,washed-wet,1650.0,83.17
kenya,kenya,2014,sl28,washed-wet,250.5,83.17
"tanzania, united republic of",mbinga,2014,other,washed-wet,1653.0,83.17
colombia,huila,2014,caturra,washed-wet,1775.0,83.17
uganda,eastern,2014,sl14,washed-wet,1800.0,83.17
honduras,san marcos,2013,catuai,natural-dry,1450.0,83.17
honduras,comayagua,2014,caturra,natural-dry,1350.0,83.17
guatemala,san marcos,2014,catuai,washed-wet,1524.0,83.17
united states (hawaii),kona,2013,hawaiian kona,natural-dry,,83.17
"tanzania, united republic of",kilimanjaro,2014,bourbon,washed-wet,1800.0,83.17
guatemala,oriente,2013,bourbon,washed-wet,1310.64,83.17
mexico,chiapas,2013,typica,washed-wet,1500.0,83.17
