country_of_origin,region,harvest_year,variety,processing_method,altitude_mean_meters,total_cup_points
mexico,"sacún palma, municipio de chilón, chiapas",2012,caturra,semi-washed-semi-pulped,940.0,81.67
united states (hawaii),kona,2012,hawaiian kona,washed-wet,,81.67
honduras,western region,2018,catimor,washed-wet,1200.0,81.58
taiwan,natou county,2016,typica,washed-wet,800.0,81.58
"tanzania, united republic of","oldeani , mongola",2014,other,washed-wet,1800.0,81.58
malawi,mzuzu,2014,gesha,washed-wet,1100.0,81.58
taiwan,natou county,2014,typica,semi-washed-semi-pulped,850.0,81.58
brazil,south of minas,2013,yellow bourbon,washed-wet,1260.0,81.58
guatemala,oriente,2013,bourbon,washed-wet,1310.64,81.58
mexico,"la concordia, chiapas",2013,typica,washed-wet,1400.0,81.58
mexico,la concordia,2012,typica,natural-dry,1650.0,81.58
guatemala,santa rosa,2017,bourbon,washed-wet,1219.2,81.5
nicaragua,jalapa,2017,caturra,other,1100.0,81.5
honduras,comayagua,2017,caturra,washed-wet,1400.0,81.5
guatemala,santa rosa,2017,bourbon,,,81.5
myanmar,ywar ngan township,2015,catuai,washed-wet,1219.2,81.5
costa rica,occidental,2014,caturra,washed-wet,1200.0,81.5
malawi,mzuzu,2014,gesha,washed-wet,1599.0,81.5
guatemala,oriente,2014,other,washed-wet,1219.2,81.5
taiwan,natou county,2014,typica,washed-wet,900.0,81.5
brazil,sul de minas,2014,yellow bourbon,semi-washed-semi-pulped,1200.0,81.5
taiwan,taichung xinshe 台中市新社區,2013,typica,other,600.0,81.5
mexico,"la concordia, chiapas",2013,typica,washed-wet,1150.0,81.5
mexico,amatenango de la frontera,2012,typica,washed-wet,1600.0,81.5
mexico,temaxcalapa,2012,catuai,washed-wet,1100.0,81.5
mexico,manzanillo,2012,typica,semi-washed-semi-pulped,1000.0,81.5
mexico,tapachula,2012,bourbon,washed-wet,1250.0,81.5
mexico,atoyac de alvarez,2012,typica,natural-dry,1100.0,81.5
indonesia,ijen,2012,other,washed-wet,1400.0,81.5
guatemala,oriente,2012,bourbon,washed-wet,,81.5
mexico,veracruz,2017,mundo novo,washed-wet,1100.0,81.42
guatemala,san marcos,2016,catuai,washed-wet,1371.6,81.42
brazil,cerrado,2015,catuai,natural-dry,1100.0,81.42
honduras,marcala,2015,catuai,washed-wet,1400.0,81.42
malawi,mzuzu,2014,gesha,washed-wet,1422.0,81.42
brazil,south of minas,2014,bourbon,natural-dry,1100.0,81.42
guatemala,"san lucas toliman, solola",2014,bourbon,washed-wet,1550.0,81.42
mexico,siltepec el triunfo,2014,typica,washed-wet,1550.0,81.42
guatemala,oriente,2013,bourbon,washed-wet,1310.64,81.42
mexico,"huazalingo, hidalgo",2012,caturra,washed-wet,763.0,81.42
mexico,"coatepec, coatepec",2012,typica,washed-wet,1100.0,81.42
colombia,huila,2011,caturra,natural-dry,1750.0,81.42
colombia,huila,2016,caturra,washed-wet,,81.33
honduras,comayagua,2016,caturra,washed-wet,1500.0,81.33
brazil,cerrado,2015,catuai,natural-dry,1100.0,81.33
honduras,marcala,2015,catuai,washed-wet,1350.0,81.33
brazil,mantiqueira de minas,2014,yellow bourbon,other,1200.0,81.33
philippines,"davao city, region 11",2014,other,washed-wet,1400.0,81.33
malawi,mzuzu,2014,gesha,washed-wet,1200.0,81.33
honduras,san marcos,2014,catuai,washed-wet,1450.0,81.33
mexico,tapachula,2012,typica,washed-wet,1800.0,81.33
mexico,veracruz,2012,typica,washed-wet,1000.0,81.33
brazil,matas de minas        ,,catuai,natural-dry,1100.0,81.33
taiwan,"dongshan dist., tainan city 台南市東山區",2015,typica,natural-dry,680.0,81.25
nicaragua,jinotega,2015,catuai,washed-wet,1100.0,81.25
honduras,marcala,2015,catuai,washed-wet,1400.0,81.25
"tanzania, united republic of",karatu ngorogoro,2014,other,washed-wet,1700.0,81.25
taiwan,nantou,2013,typica,semi-washed-semi-pulped,650.0,81.25
guatemala,"sacatepequez, guatemala",2013,caturra,washed-wet,1524.0,81.25
mexico,motozintla,2012,typica,washed-wet,1500.0,81.25
"tanzania, united republic of","ruvuma, mbinga",2015,bourbon,washed-wet,1050.0,81.17
mexico,"chiapas, jaltenango",2015,caturra,washed-wet,1200.0,81.17
costa rica,tres rios,2015,caturra,washed-wet,1300.0,81.17
honduras,central region,2015,catuai,natural-dry,1450.0,81.17
thailand,chiangrai,2014,caturra,washed-wet,1450.0,81.17
philippines,corillera administrative,2014,typica,natural-dry,1200.0,81.17
"tanzania, united republic of",mbinga,2014,bourbon,washed-wet,1550.0,81.17
malawi,southern- zomba,2014,caturra,washed-wet,995.0,81.17
costa rica,central valley,2014,catuai,washed-wet,1300.0,81.17
brazil,monte carmelo,2013,catuai,natural-dry,,81.17
mexico,tapachula,2012,typica,natural-dry,1800.0,81.17
guatemala,oriente,2012,caturra,washed-wet,1450.0,81.17
brazil,south of minas,2012,mundo novo,natural-dry,1000.0,81.17
brazil,alta paulista (sao paulo),2016,mundo novo,natural-dry,695.0,81.08
nicaragua,jinotega,2015,other,washed-wet,1100.0,81.08
"tanzania, united republic of","iwala village, mbeya rural",2014,other,washed-wet,1456.0,81.08
costa rica,naranjo,2014,caturra,washed-wet,1500.0,81.08
united states (puerto rico),yauco region,2013,other,washed-wet,853.44,81.08
mexico,san fernando,2012,typica,washed-wet,1650.0,81.08
mexico,santo reyes nopala,2012,typica,washed-wet,1300.0,81.08
mexico,santa maria sitepec,2012,typica,washed-wet,1642.0,81.08
mexico,talpa de allende,2012,typica,washed-wet,1200.0,81.08
united states (hawaii),,2012,hawaiian kona,washed-wet,,81.08
brazil,grama valley,,bourbon,pulped natural-honey,,81.0
el salvador,apaneca,2017,bourbon,washed-wet,1450.0,81.0
brazil,grama valley,2016,yellow bourbon,pulped natural-honey,,81.0
guatemala,norte,2016,bourbon,washed-wet,3280.0,81.0
colombia,guayata,2016,caturra,washed-wet,1600.0,81.0
guatemala,oriente,2015,bourbon,washed-wet,1219.2,81.0
taiwan,"dongshan dist., tainan city 臺南市東山區",2015,typica,washed-wet,758.0,81.0
honduras,san marcos,2014,caturra,natural-dry,1350.0,81.0
brazil,cerrado,2014,mundo novo,natural-dry,,81.0
"tanzania, united republic of",arusha,2014,other,washed-wet,1525.0,81.0
uganda,eastern,2013,sl14,natural-dry,1700.0,81.0
taiwan,nantou,2013,typica,semi-washed-semi-pulped,1100.0,81.0
mexico,"motozintla, chiapas",2012,other,washed-wet,950.0,81.0
mexico,adolfo lopez mateos,2012,typica,washed-wet,1100.0,81.0
taiwan,taiwan,2017,other,washed-wet,200.0,80.92
guatemala,oriente,2017,bourbon,washed-wet,1901.0,80.92
kenya,kiambu,2017,sl28,washed-wet,1600.0,80.92
mexico,veracruz,2017,bourbon,washed-wet,1100.0,80.92
myanmar,pyinoolwin,2015,other,other,1066.8,80.92
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,80.92
"tanzania, united republic of","manyara, karatu",2014,other,washed-wet,1700.0,80.92
brazil,mantiqueira de minas,2014,yellow bourbon,natural-dry,1200.0,80.92
taiwan,台中新社,2014,typica,washed-wet,550.0,80.92
brazil,south of minas,2014,bourbon,natural-dry,1100.0,80.92
nicaragua,matagalpa,2013,caturra,washed-wet,1050.0,80.92
guatemala,jalapa,2014,pacas,washed-wet,1524.0,80.92
taiwan,taichung taiping 台中市太平區,2013,typica,washed-wet,900.0,80.92
taiwan,nantou,2013,typica,other,688.0,80.92
taiwan,new taipei zhonghe 新北市中和區,2013,typica,washed-wet,300.0,80.92
mexico,ixhuatlan del cafe,2012,typica,washed-wet,1186.0,80.92
laos,"paksong,laos",2016,catimor,washed-wet,1300.0,80.83
guatemala,orient,2013,caturra,washed-wet,1200.0,80.83
mexico,motozintla,2012,catuai,semi-washed-semi-pulped,1210.0,80.83
mexico,oaxaca,2012,typica,washed-wet,1100.0,80.83
united states (hawaii),kona,2012,hawaiian kona,washed-wet,,80.83
myanmar,ywar ngan,2015,catuai,washed-wet,3825.0,80.75
guatemala,huehuetenango,2015,caturra,washed-wet,1706.88,80.75
honduras,"siguatepeque, comayagua",2015,caturra,natural-dry,1450.0,80.75
panama,boquete,2014,caturra,other,1680.0,80.75
honduras,marcala,2015,catuai,washed-wet,1350.0,80.75
honduras,central region,2015,catuai,natural-dry,1450.0,80.75
costa rica,san ramon,2014,caturra,washed-wet,1300.0,80.75
mexico,oaxaca,2012,typica,washed-wet,1200.0,80.75
haiti,haiti,2012,typica,washed-wet,1000.0,80.75
taiwan,taiwan,2016,typica,other,,80.67
guatemala,antigua,2015,bourbon,washed-wet,1500.0,80.67
malawi,southern- zomba,2014,caturra,washed-wet,995.0,80.67
mexico,"el desmoronado, talpan de allende jalisco",2014,typica,washed-wet,1200.0,80.67
colombia,santander,2014,caturra,natural-dry,1550.0,80.67
guatemala,"san lucas toliman, solola",2013,bourbon,washed-wet,1550.0,80.67
guatemala,oriente,2012,bourbon,washed-wet,,80.67
guatemala,oriente,2012,bourbon,washed-wet,,80.67
"tanzania, united republic of",arusha,2014,other,washed-wet,1400.0,80.58
brazil,south of minas,2014,bourbon,semi-washed-semi-pulped,1200.0,80.58
honduras,occidental,2014,caturra,washed-wet,1400.0,80.58
guatemala,huehuetenango,2014,bourbon,natural-dry,1383.792,80.58
guatemala,santa rosa,2017,caturra,washed-wet,1500.0,80.5
honduras,ocotepeque,2017,catuai,washed-wet,1650.0,80.5
brazil,vale da grama,2015,yellow bourbon,semi-washed-semi-pulped,1250.0,80.5
myanmar,pyin oo lwin,2015,other,washed-wet,3800.0,80.5
guatemala,oriente,2014,other,washed-wet,1219.2,80.5
brazil,mantiqueira de minas,2013,yellow bourbon,semi-washed-semi-pulped,1250.0,80.5
united states (hawaii),kona,2013,hawaiian kona,natural-dry,,80.5
guatemala,huehuetenango,2013,bourbon,washed-wet,1859.28,80.5
mexico,zaragoza itundujia,2012,typica,washed-wet,1450.0,80.5
taiwan,南投國姓,2014,typica,washed-wet,600.0,80.42
el salvador,"department of ahuachapan, municipality of apanecallamatepec mountain",2013,bourbon,washed-wet,1450.0,80.42
china,yunnan,2013,other,washed-wet,1700.0,80.42
taiwan,nantou,2013,typica,washed-wet,600.0,80.42
mexico,pochutla,2012,typica,washed-wet,1050.0,80.42
mexico,la concordia,2012,caturra,washed-wet,1550.0,80.42
"tanzania, united republic of",mkuu rombo,2015,bourbon,washed-wet,1700.0,80.33
"tanzania, united republic of",arusha,2014,other,washed-wet,,80.33
taiwan,taichung xinshe 台中市新社區,2013,yellow bourbon,other,600.0,80.33
guatemala,oriente,2013,bourbon,washed-wet,1310.64,80.33
mexico,chilón,2012,typica,semi-washed-semi-pulped,940.0,80.33
united states (hawaii),kona,2012,hawaiian kona,washed-wet,,80.33
brazil,cerrado - monte carmelo - minas gerais,2017,catuai,natural-dry,995.0,80.25
honduras,comayagua,2016,caturra,natural-dry,1400.0,80.25
mexico,sierra madre occidental,2016,caturra,washed-wet,1600.0,80.25
myanmar,"yauk sauk, shan state",2015,other,natural-dry,914.4,80.25
myanmar,ywar ngan,2014,catuai,natural-dry,4287.0,80.25
nicaragua,matagalpa,2015,caturra,washed-wet,900.0,80.25
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,80.25
colombia,,2012,typica,washed-wet,,80.25
taiwan,chiayi fanlu嘉義縣番路鄉,2013,typica,semi-washed-semi-pulped,700.0,80.25
guatemala,oriente,2012,caturra,washed-wet,1400.0,80.25
mexico,"calnali, hidalgo",2012,caturra,washed-wet,808.0,80.25
vietnam,dala,2017,catimor,other,1550.0,80.17
nicaragua,jinotega,2015,caturra,washed-wet,1187.5,80.17
honduras,marcala,2015,catuai,washed-wet,1400.0,80.17
guatemala,oriente,2013,bourbon,washed-wet,1310.64,80.17
mexico,coatepec,2012,typica,washed-wet,1250.0,80.17
mexico,zaragoza itundujia,2012,typica,washed-wet,1550.0,80.17
mexico,veracruz,2012,bourbon,washed-wet,1000.0,80.17
guatemala,oriente,2012,bourbon,washed-wet,1310.64,80.17
brazil,mantiqueira de minas,2017,bourbon,pulped natural-honey,1100.0,80.08
taiwan,苗栗泰安,2014,typica,washed-wet,850.0,80.08
taiwan,yunlin gukeng he bao 雲林縣古坑鄉荷苞村,2013,typica,other,200.0,80.08
taiwan,changhua baguashan 彰化市八卦山,2013,typica,semi-washed-semi-pulped,250.0,80.08
mexico,zaragoza itundujia,2012,typica,washed-wet,1300.0,80.08
mexico,escuitla,2012,typica,washed-wet,1300.0,80.08
nicaragua,jinotega,2017,caturra,washed-wet,1250.0,80.0
myanmar,"doe kwin, pyin oo lwin",2015,other,washed-wet,3845.0,80.0
mexico,"sierra fraylesca, chiapas",2014,typica,washed-wet,1400.0,80.0
taiwan,changhua baguashan 彰化市八卦山,2013,typica,washed-wet,250.0,80.0
mexico,coatepec,2012,typica,washed-wet,1250.0,80.0
mexico,san miguel del puerto,2012,other,washed-wet,1100.0,80.0
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,79.92
mexico,chiapas,2013,bourbon,washed-wet,1300.0,79.92
mexico,"motozintla, chiapas",2012,other,washed-wet,1100.0,79.92
mexico,veracruz,2012,bourbon,washed-wet,1100.0,79.92
mexico,jaltenango,2012,catuai,washed-wet,1100.0,79.92
mexico,coatepec,2012,typica,natural-dry,1250.0,79.92
mexico,veracruz,2012,mundo novo,washed-wet,1250.0,79.92
guatemala,san marcos,2017,bourbon,washed-wet,1700.0,79.83
nicaragua,jinotega,2014,caturra,washed-wet,1250.0,79.83
mexico,veracruz,2012,typica,washed-wet,1300.0,79.83
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,79.83
taiwan,"taiwu township , pingtung county 屏東縣泰武鄉",2014,typica,natural-dry,1000.0,79.75
taiwan,"baihe dist., tainan city 臺南市白河區",2013,typica,washed-wet,600.0,79.75
costa rica,brunca,2013,catuai,washed-wet,1100.0,79.75
mexico,"la concordia, chiapas",2013,typica,washed-wet,1400.0,79.75
mexico,chiapas,2013,bourbon,washed-wet,1022.0,79.75
mexico,chiapas,2013,bourbon,washed-wet,1300.0,79.75
mexico,zaragoza itundujia,2012,bourbon,washed-wet,1450.0,79.75
mexico,pochutla,2012,typica,washed-wet,1050.0,79.75
guatemala,antigua,2012,bourbon,washed-wet,,79.75
mexico,tuxtla gutierrez,2012,typica,washed-wet,1100.0,79.75
guatemala,oriente,2016,bourbon,washed-wet,1219.2,79.67
el salvador,cacahuatique,2016,bourbon,washed-wet,1250.0,79.67
guatemala,oriente,2013,bourbon,washed-wet,1310.64,79.67
mexico,"la concordia, chiapas",2013,typica,washed-wet,1400.0,79.67
mexico,"tenango de doria, hidalgo",2012,caturra,washed-wet,975.0,79.67
mexico,"coatepec, coatepec",2012,mundo novo,washed-wet,1264.0,79.67
mexico,tepetzingo,2012,typica,washed-wet,1250.0,79.58
mexico,la concordia,2012,caturra,washed-wet,1550.0,79.58
nicaragua,jinotega,2015,caturra,natural-dry,1050.0,79.5
taiwan,nantou,2014,typica,natural-dry,700.0,79.5
colombia,cundinamarca,2013,caturra,washed-wet,1550.0,79.5
mexico,la concordia,2012,caturra,washed-wet,1550.0,79.5
mexico,"coatepec, coatepec",2012,typica,washed-wet,1100.0,79.5
guatemala,oriente,2013,bourbon,washed-wet,1219.2,79.42
guatemala,oriente,2014,other,washed-wet,1219.2,79.42
mexico,xicotepec de juarez,2012,typica,washed-wet,800.0,79.42
colombia,pereira,2013,caturra,washed-wet,1200.0,79.33
mexico,zentla,2012,typica,washed-wet,950.0,79.33
mexico,zentla,2012,typica,washed-wet,750.0,79.33
guatemala,oriente,2012,bourbon,washed-wet,,79.33
taiwan,natou county,2014,typica,washed-wet,850.0,79.25
mexico,veracruz,2012,bourbon,washed-wet,1000.0,79.25
guatemala,santa rosa,2017,bourbon,washed-wet,1219.2,79.17
honduras,ocotepeque,2017,catuai,washed-wet,1650.0,79.17
guatemala,occidente,2016,bourbon,washed-wet,1320.0,79.17
guatemala,nuevo oriente,2015,catuai,washed-wet,1550.0,79.17
costa rica,san rafael,2012,catuai,washed-wet,,79.17
mexico,zaragoza itundujia,2012,typica,washed-wet,1550.0,79.17
mexico,yajalon,2012,typica,washed-wet,1450.0,79.17
mexico,"pluma hidalogo, oaxaca",,typica,,1200.0,79.17
guatemala,san marcos,2017,bourbon,washed-wet,1700.0,79.08
united states (puerto rico),yauco region,2013,other,washed-wet,853.44,79.08
mexico,zaragoza itundujia,2012,typica,washed-wet,1500.0,79.08
mexico,tlacuilotepec,2012,mundo novo,washed-wet,1100.0,79.08
mexico,talpa de allende,2012,typica,washed-wet,1200.0,79.08
guatemala,oriente,2014,other,washed-wet,1219.2,79.0
honduras,intibuca,2014,pacas,washed-wet,1350.0,79.0
peru,san ignacio,2012,typica,washed-wet,1400.0,79.0
mexico,"iliatenco, guerrero",2012,mundo novo,natural-dry,1300.0,79.0
mexico,zaragoza itundujia,2012,typica,semi-washed-semi-pulped,1550.0,79.0
mexico,"la concordia, chiapas",2013,typica,washed-wet,1300.0,78.92
mexico,zaragoza itundujia,2012,typica,washed-wet,1400.0,78.92
nicaragua,jalapa,2016,caturra,other,1100.0,78.83
guatemala,oriente,2013,bourbon,washed-wet,1310.64,78.75
mexico,veracruz,2012,typica,washed-wet,1320.0,78.75
mexico,veracruz,2012,typica,semi-washed-semi-pulped,1250.0,78.75
mexico,"ohuapan, tlaltetela",2012,bourbon,washed-wet,1350.0,78.75
china,yunnan,2013,typica,washed-wet,1850.0,78.67
mexico,yecuatla,2012,caturra,washed-wet,1150.0,78.67
guatemala,oriente,2014,other,washed-wet,1219.2,78.58
taiwan,"dongshan dist., tainan city 臺南市東山區",2013,typica,washed-wet,800.0,78.58
mexico,tapachula,2012,typica,washed-wet,1400.0,78.58
mexico,cofradia de suchitlan,2012,typica,washed-wet,1300.0,78.58
mexico,"sierra, chiapas",2014,bourbon,washed-wet,1600.0,78.5
mexico,villa talea de castro,2012,typica,washed-wet,1400.0,78.5
mexico,los angeles,2012,caturra,washed-wet,1200.0,78.5
brazil,monte carmelo,2014,catuai,natural-dry,,78.42
mexico,zaragoza itundujia,2012,typica,washed-wet,1500.0,78.42
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,78.33
guatemala,oriente,2014,other,washed-wet,1219.2,78.33
guatemala,oriente,2012,bourbon,washed-wet,1310.64,78.33
mexico,"xochitonalco, huautla        ",2012,typica,natural-dry,1300.0,78.33
guatemala,oriente,2012,bourbon,washed-wet,,78.33
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,78.25
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,78.25
mexico,cordoba,2012,typica,washed-wet,1050.0,78.08
taiwan,"台南市東山區( dongshan dist., tainan city)",2016,yellow bourbon,washed-wet,650.0,78.0
honduras,intibuca,2014,pacas,natural-dry,1350.0,78.0
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,78.0
guatemala,oriente,2014,other,washed-wet,1219.2,78.0
china,yunnan,2013,typica,washed-wet,1200.0,78.0
guatemala,oriente,2013,bourbon,washed-wet,1310.64,78.0
mexico,"motozintla, chiapas",2012,other,washed-wet,850.0,78.0
costa rica,occidental,2014,caturra,washed-wet,1200.0,77.92
mexico,petatlan,2012,typica,washed-wet,1248.0,77.92
guatemala,oriente,2012,bourbon,washed-wet,,77.92
guatemala,oriente,2013,bourbon,washed-wet,1310.64,77.83
taiwan,"dongshan dist., tainan city 臺南市東山區",2012,typica,washed-wet,775.0,77.67
mexico,coatepec,2012,typica,washed-wet,1300.0,77.5
guatemala,oriente,2013,bourbon,washed-wet,1310.64,77.42
brazil,south of minas,2017,bourbon,natural-dry,890.0,77.33
guatemala,oriente,2014,other,washed-wet,1219.2,77.33
mexico,zaragoza itundujia,2012,typica,washed-wet,1500.0,77.33
haiti,"dondon, haiti",2013,typica,washed-wet,825.0,77.25
mexico,"motozintla, chiapas",2012,other,washed-wet,1200.0,77.17
peru,san ignacio,2014,caturra,washed-wet,1200.0,77.0
mexico,"pluma hidalogo, oaxaca",,typica,,1200.0,76.75
guatemala,oriente,2012,bourbon,washed-wet,,76.5
mexico,coatepec,2012,typica,washed-wet,1100.0,76.42
guatemala,oriente,2012,bourbon,washed-wet,1310.64,76.33
guatemala,oriente,2011,bourbon,washed-wet,,76.33
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,76.25
mexico,zaragoza itundujia,2012,typica,washed-wet,1400.0,76.17
indonesia,indonesia,2011,other,natural-dry,3500.0,76.17
mexico,tepictla,2012,bourbon,washed-wet,1250.0,76.08
honduras,intibuca,2014,pacas,natural-dry,1350.0,76.0
guatemala,oriente,2012,bourbon,washed-wet,1310.64,75.58
guatemala,oriente,2012,bourbon,washed-wet,,75.58
mexico,ocosingo,2012,mundo novo,washed-wet,1200.0,75.17
mexico,,2012,other,washed-wet,1100.0,75.17
mexico,huautla de jimenez,2012,typica,washed-wet,1280.0,75.17
mexico,menglian,2012,typica,washed-wet,850.0,75.0
mexico,zaragoza itundujia,2012,typica,washed-wet,1500.0,74.92
mexico,coatepec,2012,typica,washed-wet,1250.0,74.83
guatemala,oriente,2012,bourbon,washed-wet,,74.75
guatemala,oriente,2012,bourbon,washed-wet,,74.75
mexico,chiapas,2013,typica,washed-wet,1700.0,74.67
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,74.42
guatemala,oriente,2013,bourbon,washed-wet,1310.64,74.33
mexico,"chocaman, veracruz",2012,typica,washed-wet,1140.0,74.33
mexico,xalapa,2012,typica,washed-wet,1200.0,74.0
mexico,coatepec,2012,typica,washed-wet,1250.0,73.83
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,73.67
honduras,intibuca,2014,pacas,washed-wet,1350.0,73.42
mexico,sierra alta mixe y zapoteca,2014,typica,washed-wet,1200.0,72.92
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,72.58
costa rica,occidental,2014,caturra,washed-wet,1200.0,71.75
mexico,tlatlauquitepec,2012,mundo novo,washed-wet,800.0,71.08
mexico,veracruz,2012,bourbon,washed-wet,1800.0,71.0
mexico,"sierra norte yajalon, chiapas",2014,typica,washed-wet,1000.0,70.75
honduras,marcala,2014,catuai,washed-wet,1450.0,69.33
honduras,marcala,2014,catuai,washed-wet,1450.0,69.17
honduras,marcala,2014,catuai,washed-wet,1450.0,69.17
mexico,juchique de ferrer,2012,bourbon,washed-wet,900.0,68.33
haiti,"department d'artibonite , haiti",2012,typica,natural-dry,350.0,67.92
nicaragua,jalapa,2016,caturra,other,1100.0,63.08
guatemala,nuevo oriente,2012,catuai,washed-wet,1417.32,59.83
