Country_of_Origin,Region,Harvest_Year,Variety,Processing_Method,altitude_mean_meters,Total_Cup_Points
Ethiopia,guji-hambela,2014,Other,Washed / Wet,2075.0,89.92
Guatemala,,,Bourbon,,1700.0,89.75
Ethiopia,guji-hambela,2014,Other,Washed / Wet,2075.0,88.83
Peru,,2012,Other,Washed / Wet,,88.75
Ethiopia,"snnp/kaffa zone,gimbowereda",2014,Other,Natural / Dry,1822.5,88.25
United States,antioquia,2014,Other,Washed / Wet,1872.0,87.92
United States,antioquia,2014,Other,Washed / Wet,1943.0,87.92
United States,antioquia,2014,Other,Washed / Wet,2080.0,87.58
China,yunnan,2015,Catimor,Washed / Wet,1450.0,87.25
United States,antioquia,2014,Other,Washed / Wet,2019.0,87.25
Costa Rica,san ramon,2014,Caturra,Washed / Wet,1300.0,87.17
Mexico,xalapa,2012,Other,Washed / Wet,1320.0,87.17
United States,antioquia,2014,Other,Washed / Wet,2112.0,87.08
Brazil,south of minas,2011,Bourbon,Natural / Dry,1250.0,86.92
Uganda,kapchorwa eastern,2013,SL14,Washed / Wet,1950.0,86.83
Honduras,comayagua,2016,Caturra,,1400.0,86.67
Brazil,vale da grama,2011,Bourbon,Natural / Dry,1300.0,86.42
Costa Rica,west and central valley,2015,Caturra,Washed / Wet,1300.0,86.33
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,86.25
United States,antioquia,2014,Other,Washed / Wet,1941.0,86.17
Thailand,chiang rai,2012,Caturra,Washed / Wet,1300.0,86.17
Taiwan,natou county,2015,Bourbon,Semi-washed / Semi-pulped,1000.0,86.08
Kenya,nyeri,2014,SL28,Natural / Dry,1754.0,86.08
Brazil,south of minas,2011,Bourbon,Semi-washed / Semi-pulped,1250.0,86.08
Colombia,tolima,2013,Caturra,Washed / Wet,1200.0,86.0
Kenya,kiambu,2013,SL28,Washed / Wet,1860.0,86.0
Uganda,"sipi, mt elgon",2012,Other,Washed / Wet,1650.0,86.0
Guatemala,nuevo oriente,2016,Bourbon,Washed / Wet,,85.92
Uganda,eastern,2013,SL14,Natural / Dry,1650.0,85.92
Colombia,huila,2013,Caturra,Washed / Wet,1800.0,85.92
Panama,boquete,2017,Gesha,Washed / Wet,1600.0,85.83
Guatemala,acatenango,2012,Bourbon,Washed / Wet,1524.0,85.83
Guatemala,nuevo oriente,2012,Catuai,Washed / Wet,1417.32,85.83
Ethiopia,addis ababa,2017,Caturra,Natural / Dry,,85.75
El Salvador,apaneca,2013,Bourbon,Washed / Wet,1500.0,85.58
El Salvador,"ataco, apaneca - ilamatepec mountain range",2012,Bourbon,Semi-washed / Semi-pulped,1350.0,85.58
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,85.58
Panama,boquete,2014,Caturra,Natural / Dry,1680.0,85.5
Kenya,kirinyaga,2014,SL28,Natural / Dry,1900.0,85.5
Ethiopia,oromia,2015,Other,Natural / Dry,1900.0,85.5
Uganda,bulambuli eastern region,2013,SL14,Washed / Wet,1600.0,85.5
Guatemala,huehuetenango,2013,Bourbon,Washed / Wet,1731.264,85.5
Uganda,kapchorwa,2013,SL14,Washed / Wet,1950.0,85.42
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,85.42
Brazil,south of minas,2011,Bourbon,Semi-washed / Semi-pulped,1250.0,85.42
China,yunnan,2015,Catimor,Natural / Dry,1700.0,85.33
Costa Rica,west valley,2014,Caturra,Washed / Wet,1300.0,85.33
Costa Rica,san ramon,2014,Caturra,Washed / Wet,1300.0,85.33
Ethiopia,yirgacheffe,2009,Typica,,,85.33
Guatemala,oriente,2016,Bourbon,,,85.25
Colombia,santander,2015,Caturra,Washed / Wet,1550.0,85.25
Colombia,santander,2014,Caturra,Natural / Dry,1550.0,85.25
Guatemala,huehuetenango,2012,Caturra,Washed / Wet,1400.0,85.17
Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",2016,Other,Natural / Dry,,85.08
Colombia,pasto,2015,Caturra,Natural / Dry,2560.0,85.08
United States (Hawaii),kona,2014,Hawaiian Kona,Natural / Dry,,85.08
Colombia,cundinamarca,2012,Caturra,Natural / Dry,2136.0,85.08
Uganda,eastern uganda,2016,SL14,Washed / Wet,1800.0,85.0
Colombia,huila,2016,Caturra,Washed / Wet,,85.0
Costa Rica,tarrazu,2016,Catuai,Washed / Wet,1900.0,85.0
Mexico,veracruz,2015,Typica,Washed / Wet,1300.0,85.0
Brazil,grama valley,2012,Mundo Novo,Natural / Dry,1100.0,85.0
Colombia,huila,2016,Caturra,Washed / Wet,,84.92
Colombia,huila,2015,Caturra,Washed / Wet,1775.0,84.92
Taiwan,natou county,2015,Typica,Semi-washed / Semi-pulped,800.0,84.92
"Tanzania, United Republic Of",mbeya,2014,Other,Washed / Wet,1620.0,84.92
Colombia,huila,2012,Caturra,Washed / Wet,1775.0,84.92
Mexico,coatepec,2012,Typica,Semi-washed / Semi-pulped,1200.0,84.92
Brazil,south of minas,2011,Bourbon,Natural / Dry,1200.0,84.92
Brazil,south of minas,2011,Catuai,Natural / Dry,1000.0,84.92
Taiwan,"dongshan dist., tainan city 臺南市東山區",2016,Typica,Natural / Dry,350.0,84.83
Uganda,eastern,2013,SL14,Natural / Dry,1650.0,84.83
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,84.83
Thailand,thailand,2015,Caturra,Pulped natural / honey,,84.75
Honduras,marcala,2014,Catuai,Washed / Wet,1450.0,84.75
El Salvador,apaneca,2016,Bourbon,Washed / Wet,1350.0,84.67
Costa Rica,tarrazu,2015,Catuai,Washed / Wet,1150.0,84.67
Guatemala,acatenango,2015,Bourbon,Washed / Wet,1600.0,84.67
Costa Rica,tarrazu,2014,Caturra,Washed / Wet,1750.0,84.67
Costa Rica,costa rica,2014,Other,Other,1750.0,84.67
Costa Rica,west valley,2014,Catuai,Washed / Wet,1200.0,84.67
Taiwan,taichung xinshe 台中市新社區,2013,Typica,Washed / Wet,1000.0,84.67
Colombia,santander,2013,Caturra,Washed / Wet,1550.0,84.67
Kenya,nyeri,2012,SL28,Washed / Wet,2000.0,84.67
Guatemala,oriente,2012,Bourbon,Washed / Wet,1310.64,84.67
Guatemala,acatenango,2012,Bourbon,Washed / Wet,1524.0,84.67
Mexico,el remudadero,2012,Typica,Washed / Wet,1200.0,84.67
Uganda,mbale,2012,Other,Washed / Wet,1775.0,84.67
Colombia,santander,2016,Other,Washed / Wet,1500.0,84.58
Colombia,huila,2016,Caturra,Washed / Wet,,84.58
Guatemala,jalapa,2014,Pacas,Washed / Wet,1524.0,84.58
Guatemala,oriente,2014,Bourbon,Washed / Wet,1219.2,84.58
Colombia,santander,2013,Caturra,Washed / Wet,1550.0,84.58
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,84.58
Kenya,,2013,SL28,Washed / Wet,,84.58
Colombia,huila,2012,Caturra,Washed / Wet,1750.0,84.58
Costa Rica,tres rios,2012,Bourbon,Semi-washed / Semi-pulped,1575.0,84.58
Colombia,huila,2012,Caturra,Washed / Wet,1800.0,84.58
Brazil,vale da grama,2011,Bourbon,Semi-washed / Semi-pulped,1300.0,84.58
Brazil,mountains of minas gerais,2011,Catuai,Semi-washed / Semi-pulped,1100.0,84.58
Costa Rica,valle central,2017,Caturra,Washed / Wet,1200.0,84.5
Uganda,eastern uganda,2016,SL14,Washed / Wet,1750.0,84.5
China,yunnan,2015,Catimor,Washed / Wet,1680.0,84.5
Costa Rica,tarrazu,2014,Caturra,Washed / Wet,1700.0,84.5
Colombia,cauca,2015,Other,Washed / Wet,1800.0,84.5
China,yunnan,2013,Other,Washed / Wet,1100.0,84.5
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,84.5
Kenya,nyeri,2012,SL28,Washed / Wet,2000.0,84.5
Mexico,hustusco,2012,Typica,Washed / Wet,1350.0,84.5
Mexico,jaltenango,2012,Typica,Washed / Wet,1500.0,84.5
Guatemala,"el tumbador, san marcos",2012,Bourbon,Washed / Wet,,84.5
Costa Rica,tarrazu,2016,Caturra,Washed / Wet,1300.0,84.42
Colombia,pitalito,2015,Caturra,Natural / Dry,,84.42
Colombia,huila,2014,Caturra,Washed / Wet,1775.0,84.42
Taiwan,"mountain ali, taiwan",2012,Typica,Washed / Wet,1200.0,84.42
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,84.42
Kenya,nyeri,2017,SL28,Washed / Wet,1800.0,84.33
Honduras,comayagua,2016,Caturra,,1500.0,84.33
Colombia,huila,2016,Caturra,Washed / Wet,,84.33
Honduras,central region,2016,Catuai,Washed / Wet,1500.0,84.33
Colombia,huila,2015,Caturra,Natural / Dry,442.0,84.33
Colombia,huila,2013,Caturra,Washed / Wet,1800.0,84.33
Mexico,tuxtla gutierrez,2012,Typica,Washed / Wet,1700.0,84.33
Brazil,vale da grama,2011,Yellow Bourbon,,1275.0,84.33
Taiwan,國姓鄉 guoshing township,2016,Typica,Washed / Wet,1000.0,84.25
Thailand,chiang rai thailand,2015,Catimor,Natural / Dry,1200.0,84.25
Colombia,nariño,2016,Caturra,Natural / Dry,2560.0,84.25
Guatemala,antigua,2016,Caturra,Washed / Wet,1500.0,84.25
Guatemala,huehuetenango,2015,Caturra,Washed / Wet,1099.4136,84.25
China,yunnan,2015,Catimor,Natural / Dry,1400.0,84.25
Colombia,huila,2015,Caturra,Washed / Wet,1775.0,84.25
Colombia,huila,2015,Caturra,Washed / Wet,1775.0,84.25
Colombia,cauca,2015,Other,Washed / Wet,1800.0,84.25
Colombia,huila,2015,Caturra,Natural / Dry,442.0,84.25
"Tanzania, United Republic Of",shizingo village,2014,Other,Washed / Wet,1620.0,84.25
"Tanzania, United Republic Of",mbeya,2014,Other,Washed / Wet,1600.0,84.25
Guatemala,oriente,2014,Bourbon,Other,1219.2,84.25
Colombia,cauca,2013,Caturra,Washed / Wet,1700.0,84.25
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,84.25
Mexico,san pedro cotzilnam,2012,Typica,Semi-washed / Semi-pulped,1450.0,84.25
Mexico,veracruz,2012,Bourbon,Washed / Wet,1170.0,84.25
Mexico,"la concordia, chiapas",2012,Bourbon,Washed / Wet,1400.0,84.25
Uganda,kasese,2012,Other,Natural / Dry,1700.0,84.25
Guatemala,san marcos,2017,Bourbon,Washed / Wet,1700.0,84.17
Colombia,huila,2016,Caturra,Washed / Wet,,84.17
Costa Rica,tarrazu,2016,Caturra,Washed / Wet,1700.0,84.17
Guatemala,huehuetenango,2016,Caturra,Washed / Wet,1116.7872,84.17
Guatemala,solola,2016,Caturra,Washed / Wet,1565.0,84.17
Guatemala,norte,2016,Bourbon,Washed / Wet,3280.0,84.17
Colombia,huila,2015,Caturra,Washed / Wet,1775.0,84.17
Nicaragua,jinotega,2015,Caturra,Natural / Dry,1000.0,84.17
Brazil,cerrado,2015,Catuai,Natural / Dry,1150.0,84.17
Costa Rica,tarrazu,2014,Caturra,Washed / Wet,1850.0,84.17
Ethiopia,snnprg; kafa; telo woreda; shada kebele,2014,Gesha,Natural / Dry,1606.5,84.17
"Tanzania, United Republic Of",arusha,2014,Other,Washed / Wet,1400.0,84.17
Colombia,huila,2014,Other,Washed / Wet,1530.0,84.17
Kenya,kenya,2013,SL28,Washed / Wet,250.5,84.17
Brazil,"minas gerais, br",2012,Mundo Novo,Natural / Dry,1038.5,84.17
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,84.17
El Salvador,apaneca,2013,Bourbon,Natural / Dry,1500.0,84.17
Colombia,huila,2012,Caturra,Washed / Wet,1750.0,84.17
Guatemala,guatemala,2012,Catuai,Natural / Dry,,84.17
Uganda,mt. rwenzori,2012,Other,Washed / Wet,1600.0,84.17
Colombia,huila,2017,Caturra,Washed / Wet,442.0,84.08
Taiwan,"nanxi dist., tainan city 臺南市楠西區",2016,Typica,Washed / Wet,968.0,84.08
Guatemala,oriente,2016,Bourbon,Washed / Wet,,84.08
Colombia,huila,2014,Caturra,Washed / Wet,1775.0,84.08
Guatemala,"aldea xeucalvitz, ixil region, quiche department",2014,Bourbon,Washed / Wet,1550.0,84.08
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,84.08
Mexico,santo domingo cacalotepec,2012,Typica,Washed / Wet,1480.0,84.08
Ethiopia,"ethiopia, sidamo",2012,Other,Natural / Dry,1800.0,84.08
Ethiopia,sidamo,2017,Gesha,Natural / Dry,1800.0,84.0
Honduras,comayagua,2017,Caturra,Washed / Wet,1500.0,84.0
Guatemala,huehuetenango,2015,Caturra,Washed / Wet,1706.88,84.0
Colombia,huila,2014,Other,Washed / Wet,1600.0,84.0
Guatemala,oriente,2014,Bourbon,Natural / Dry,1219.2,84.0
Guatemala,oriente,2014,Bourbon,Other,1219.2,84.0
Colombia,santander,2014,Caturra,Natural / Dry,1450.0,84.0
Colombia,huila,2014,Caturra,Washed / Wet,1775.0,84.0
Ethiopia,sidamo,2013,Other,Natural / Dry,1550.0,84.0
Brazil,south of minas,2013,Yellow Bourbon,Natural / Dry,1260.0,84.0
Colombia,cauca,2013,Caturra,Washed / Wet,1700.0,84.0
Thailand,thailand,2012,Other,Washed / Wet,,84.0
Kenya,central kenya,2012,SL28,Washed / Wet,1650.0,84.0
Uganda,kasese,2012,Other,Washed / Wet,1700.0,84.0
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,83.92
Mexico,veracruz,2017,Mundo Novo,Washed / Wet,1300.0,83.92
Thailand,chiangrai,2015,Catimor,Natural / Dry,1350.0,83.92
Brazil,south of minas,2016,Bourbon,Natural / Dry,934.0,83.92
Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",2015,Typica,Washed / Wet,1200.0,83.92
Colombia,huila,2014,Caturra,Washed / Wet,1775.0,83.92
Taiwan,台中和平區,2014,Typica,Washed / Wet,950.0,83.92
Colombia,santander,2014,Caturra,Natural / Dry,1550.0,83.92
Mexico,xicotepec de juarez,2012,Typica,Washed / Wet,900.0,83.92
Mexico,la concordia,2012,Typica,Washed / Wet,1500.0,83.92
Mexico,la yerbabuena,2012,Typica,Washed / Wet,1400.0,83.92
Colombia,nariño,2017,Caturra,Washed / Wet,2527.0,83.83
Colombia,huila,2016,Caturra,,,83.83
Costa Rica,tarrazu,2015,Caturra,Washed / Wet,1850.0,83.83
Guatemala,antigua,2016,Bourbon,Washed / Wet,1500.0,83.83
Taiwan,"dongshan dist., tainan city 臺南市東山區",2014,Typica,Washed / Wet,525.0,83.83
Brazil,south of minas,2014,Bourbon,Semi-washed / Semi-pulped,1200.0,83.83
Costa Rica,central valley,2013,Catuai,Washed / Wet,1300.0,83.83
Guatemala,oriente,2014,Bourbon,Washed / Wet,1219.2,83.83
Brazil,south of minas,2013,Yellow Bourbon,Natural / Dry,1260.0,83.83
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,83.83
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,83.83
Mexico,petatlan,2012,Bourbon,Natural / Dry,1218.0,83.83
Mexico,"la concordia, chiapas",2012,Pacas,Natural / Dry,1300.0,83.83
Brazil,carmo de minas,2011,Yellow Bourbon,Semi-washed / Semi-pulped,1250.0,83.83
Kenya,nyeri,,SL28,Washed / Wet,1800.0,83.75
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,83.75
Colombia,huila,2017,Caturra,Washed / Wet,442.0,83.75
Taiwan,"台南市東山區 (dongshan dist., tainan city)",2016,Typica,Natural / Dry,750.0,83.75
China,yunnan,2015,Catimor,Washed / Wet,1650.0,83.75
Colombia,huila,2015,Caturra,Natural / Dry,442.0,83.75
Uganda,west nile,2013,Bourbon,Natural / Dry,1400.0,83.75
United States (Puerto Rico),yauco region,2013,Other,Washed / Wet,853.44,83.75
Colombia,huila,2014,Caturra,Washed / Wet,1775.0,83.75
Colombia,huila,2014,Other,Washed / Wet,1550.0,83.75
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,83.75
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,83.75
United States (Hawaii),kona,2013,Hawaiian Kona,Natural / Dry,,83.75
Mexico,"huazalingo, hidalgo",2012,Caturra,Natural / Dry,700.0,83.75
Guatemala,quetzaltenango,2012,Caturra,Washed / Wet,1300.0,83.75
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,83.67
Kenya,meru county,2017,SL28,Washed / Wet,1700.0,83.67
Honduras,comayagua,2016,Caturra,Washed / Wet,1400.0,83.67
Nicaragua,jinotega,2016,Caturra,Washed / Wet,1250.0,83.67
Brazil,south of minas,2016,Bourbon,Natural / Dry,934.0,83.67
Taiwan,"leye, alishan township, chiayi county",2015,Caturra,Natural / Dry,1200.0,83.67
Colombia,huila,2014,Caturra,Washed / Wet,1625.0,83.67
Guatemala,huehuetenango,2014,Bourbon,Washed / Wet,1356.6648,83.67
Colombia,huila supremo,2013,Caturra,Washed / Wet,1750.0,83.67
Colombia,huila,2013,Caturra,Washed / Wet,1900.0,83.67
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,83.67
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,83.67
Colombia,huila,2012,Caturra,Washed / Wet,1750.0,83.67
Guatemala,oriente,2012,Caturra,Natural / Dry,1450.0,83.67
Guatemala,oriente,2012,Bourbon,Washed / Wet,1310.64,83.67
Mexico,xicotepec de juarez,2012,Typica,Washed / Wet,1100.0,83.67
Indonesia,east java,2012,Typica,Washed / Wet,1400.0,83.67
Guatemala,"sacatepequez, guatemala",2012,Caturra,Washed / Wet,1524.0,83.67
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,83.58
Guatemala,huehuetenango,2016,Caturra,Washed / Wet,1128.3696,83.58
Colombia,huila,2016,Caturra,Washed / Wet,,83.58
China,yunnan,2015,Catimor,Washed / Wet,1100.0,83.58
Colombia,huila,2015,Caturra,Washed / Wet,1775.0,83.58
Mexico,"chiapas, jaltenango",2014,Caturra,Washed / Wet,1200.0,83.58
Ethiopia,yirgacheffe,2014,Other,Washed / Wet,1850.0,83.58
Uganda,eastern,2013,SL14,Washed / Wet,1800.0,83.58
Colombia,cundinamarca,2014,Caturra,Natural / Dry,1600.0,83.58
Colombia,santander,2014,Caturra,Washed / Wet,1550.0,83.58
Colombia,santander,2014,Caturra,Washed / Wet,1550.0,83.58
Taiwan,taichung xinshe 台中市新社區,2013,Typica,Other,1000.0,83.58
Colombia,huila,2012,Caturra,Washed / Wet,1775.0,83.58
Mexico,xalapa,2012,Typica,Washed / Wet,1000.0,83.58
Colombia,cundinamarca,2012,Caturra,Natural / Dry,2136.0,83.58
Brazil,south of minas,2012,Catuai,Semi-washed / Semi-pulped,1100.0,83.58
Colombia,cundinamarca,2016,Caturra,Washed / Wet,1799.0,83.5
Costa Rica,tarrazu,2015,Caturra,Washed / Wet,1850.0,83.5
Colombia,pitalito,2016,Caturra,Natural / Dry,1000.0,83.5
Guatemala,oriente,2016,Bourbon,Washed / Wet,1219.2,83.5
Colombia,huila,2015,Caturra,Washed / Wet,1775.0,83.5
Colombia,huila,2014,Caturra,Washed / Wet,1850.0,83.5
Guatemala,atitlan,2013,Caturra,Washed / Wet,1400.0,83.5
Colombia,cundinamarca,2014,Caturra,Washed / Wet,1650.0,83.5
Honduras,comayagua,2014,Caturra,Natural / Dry,1350.0,83.5
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,83.5
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,83.5
Mexico,xalapa,2012,Bourbon,Natural / Dry,1170.0,83.5
Mexico,chilón,2012,Typica,Semi-washed / Semi-pulped,940.0,83.5
Guatemala,atitlan,2012,Caturra,Washed / Wet,1524.0,83.5
Colombia,huila,2012,Caturra,Washed / Wet,1775.0,83.5
Guatemala,oriente,2012,Bourbon,Washed / Wet,1402.08,83.5
Colombia,huila,2017,Caturra,Washed / Wet,439.0,83.42
Guatemala,san marcos,2017,Bourbon,Washed / Wet,1700.0,83.42
Colombia,huila,2016,Caturra,Washed / Wet,442.0,83.42
Costa Rica,tarrazu,2016,Caturra,Washed / Wet,1850.0,83.42
Uganda,eastern,2015,SL14,Washed / Wet,1800.0,83.42
Thailand,thailand,2015,Catimor,Washed / Wet,1200.0,83.42
El Salvador,apaneca,2016,Bourbon,Washed / Wet,1330.0,83.42
Colombia,huila,2015,Caturra,Natural / Dry,442.0,83.42
Brazil,vale da grama,2014,Yellow Bourbon,Semi-washed / Semi-pulped,,83.42
"Tanzania, United Republic Of",karatu northern,2014,Bourbon,Washed / Wet,1600.0,83.42
Colombia,huila,2014,Caturra,Washed / Wet,1813.0,83.42
Guatemala,oriente,2013,Bourbon,Natural / Dry,1219.2,83.42
Guatemala,antigua,2014,Caturra,Washed / Wet,1500.0,83.42
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,83.42
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,83.42
Colombia,cundinamarca,2012,Caturra,Washed / Wet,1450.0,83.42
Colombia,huila,2016,Caturra,Washed / Wet,1650.0,83.33
Colombia,guayata,2016,Caturra,Washed / Wet,,83.33
Colombia,huila,2016,Caturra,Washed / Wet,,83.33
Brazil,south of minas,2015,Catuai,Semi-washed / Semi-pulped,1227.0,83.33
Mexico,chiapas,2014,Caturra,Washed / Wet,1200.0,83.33
Colombia,santander,2015,Caturra,Washed / Wet,1650.0,83.33
"Tanzania, United Republic Of",arusha,2014,Other,Semi-washed / Semi-pulped,1700.0,83.33
Mexico,veracruz,2013,Other,Washed / Wet,1100.0,83.33
Costa Rica,san ramon,2014,Caturra,Washed / Wet,1300.0,83.33
United States (Hawaii),kona,2014,Hawaiian Kona,Natural / Dry,,83.33
Costa Rica,central valley,2013,Catuai,Washed / Wet,1200.0,83.33
Haiti,"thiotte, haiti",2012,Typica,Washed / Wet,1280.16,83.33
Colombia,pitalito,2013,Caturra,Natural / Dry,1000.0,83.33
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,83.33
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,83.33
Burundi,kayanza,2012,Bourbon,Washed / Wet,1880.0,83.33
Colombia,huila,2012,Caturra,Washed / Wet,1750.0,83.33
Mexico,sierra madre occidental,2017,Typica,Washed / Wet,1600.0,83.25
Costa Rica,tarrazu,2016,Catuai,Pulped natural / honey,1900.0,83.25
Guatemala,nuevo oriente,2016,Pacas,Washed / Wet,2100.0,83.25
Uganda,"sipi, mt elgon",2015,SL14,Washed / Wet,,83.25
Colombia,huila,2015,Caturra,Natural / Dry,442.0,83.25
Mexico,cuarenteño,2015,Typica,Natural / Dry,1261.0,83.25
Taiwan,natou county,2015,Bourbon,Washed / Wet,1000.0,83.25
Taiwan,南投國姓,2014,Typica,Washed / Wet,800.0,83.25
Colombia,eje cafetero,2014,Caturra,Natural / Dry,1483.0,83.25
Guatemala,antigua,2014,Caturra,Washed / Wet,1500.0,83.25
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,83.25
Mexico,chiapas,2013,Bourbon,Washed / Wet,1300.0,83.25
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,83.25
Mexico,veracruz,2012,Mundo Novo,Washed / Wet,,83.25
Mexico,fortín de las flores,2012,Caturra,Washed / Wet,1000.0,83.25
Guatemala,oriente,2012,Bourbon,Washed / Wet,1310.64,83.25
Brazil,grama valley,2012,Yellow Bourbon,Semi-washed / Semi-pulped,1200.0,83.25
Colombia,la plata,2012,Caturra,Washed / Wet,1775.0,83.25
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,83.17
Guatemala,oriente,2017,Bourbon,Washed / Wet,1901.0,83.17
Vietnam,dala,2017,Catimor,Natural / Dry,1550.0,83.17
Guatemala,antigua,2016,Caturra,Washed / Wet,1500.0,83.17
Honduras,marcala,2016,Catuai,Washed / Wet,1450.0,83.17
China,yunnan,2015,Catimor,Washed / Wet,1200.0,83.17
China,dehong prefecture,2015,Catimor,Washed / Wet,1600.0,83.17
El Salvador,apaneca,2016,Bourbon,Washed / Wet,1350.0,83.17
Guatemala,antigua,2015,Bourbon,Washed / Wet,1500.0,83.17
Guatemala,oriente,2015,Bourbon,Washed / Wet,1650.0,83.17
Kenya,kenya,2014,SL28,Washed / Wet,250.5,83.17
"Tanzania, United Republic Of",mbinga,2014,Other,Washed / Wet,1653.0,83.17
Colombia,huila,2014,Caturra,Washed / Wet,1775.0,83.17
Uganda,eastern,2014,SL14,Washed / Wet,1800.0,83.17
Honduras,san marcos,2013,Catuai,Natural / Dry,1450.0,83.17
Honduras,comayagua,2014,Caturra,Natural / Dry,1350.0,83.17
Guatemala,san marcos,2014,Catuai,Washed / Wet,1524.0,83.17
United States (Hawaii),kona,2013,Hawaiian Kona,Natural / Dry,,83.17
"Tanzania, United Republic Of",kilimanjaro,2014,Bourbon,Washed / Wet,1800.0,83.17
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,83.17
Mexico,chiapas,2013,Typica,Washed / Wet,1500.0,83.17
