Country_of_Origin,Region,Harvest_Year,Variety,Processing_Method,altitude_mean_meters,Total_Cup_Points
Mexico,"tlanchinol, hidalgo",2012,Typica,Washed / Wet,532.0,83.17
Colombia,huila,2012,Caturra,Washed / Wet,1775.0,83.17
Mexico,san isidro,2012,Typica,Washed / Wet,700.0,83.17
Colombia,huila,2012,Caturra,Washed / Wet,1750.0,83.17
Mexico,la concordia,2012,Typica,Washed / Wet,1380.0,83.17
Brazil,south of minas,2012,Mundo Novo,Natural / Dry,1000.0,83.17
Brazil,mogiana,2012,Mundo Novo,Natural / Dry,950.0,83.17
Guatemala,oriente,2012,Bourbon,Washed / Wet,1402.08,83.17
Brazil,south of minas,2011,Mundo Novo,Semi-washed / Semi-pulped,1000.0,83.17
Colombia,cundinamarca,2016,Caturra,Washed / Wet,1799.0,83.08
Colombia,huila,2016,Caturra,Washed / Wet,,83.08
Brazil,south of minas,2015,Yellow Bourbon,Pulped natural / honey,905.0,83.08
Taiwan,"dongshan dist., tainan city 臺南市東山區",2015,Typica,Natural / Dry,750.0,83.08
Brazil,chapadão de ferro (cerrado mineiro),2015,Mundo Novo,Natural / Dry,,83.08
Brazil,south of minas,2014,Bourbon,Washed / Wet,1200.0,83.08
Costa Rica,central valley,2014,Catuai,Washed / Wet,1300.0,83.08
United States (Hawaii),kona,2013,Hawaiian Kona,Natural / Dry,,83.08
Taiwan,chiayi alishan 嘉義縣阿里山鄉,2013,Typica,Other,1300.0,83.08
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,83.08
Mexico,santa catarina juquila,2012,Other,Washed / Wet,1400.0,83.08
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,83.08
United States (Hawaii),kona,2012,Hawaiian Kona,Washed / Wet,,83.08
Colombia,huila,,Caturra,,1775.0,83.08
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,83.0
Brazil,south of minas,2016,Bourbon,Natural / Dry,894.0,83.0
Brazil,south of minas,2016,Bourbon,Natural / Dry,872.0,83.0
Uganda,"kasese, mt. rwenzori",2015,Bourbon,Washed / Wet,1473.0,83.0
Uganda,"kasese, mt. rwenzori",2015,Bourbon,Natural / Dry,1645.0,83.0
Vietnam,vietnam cau dat,2014,Caturra,Other,1550.0,83.0
Guatemala,nuevo oriente,2015,Catuai,Washed / Wet,1550.0,83.0
Guatemala,"el tumbador, san marcos",2015,Catuai,Washed / Wet,1371.6,83.0
Guatemala,antigua,2015,Bourbon,Washed / Wet,1500.0,83.0
Brazil,high mogiana,2014,Catuai,Natural / Dry,1000.0,83.0
Taiwan,嘉義阿里山,2014,Typica,Washed / Wet,1200.0,83.0
Uganda,kapchorwa,2013,SL14,Washed / Wet,1800.0,83.0
United States (Puerto Rico),yauco region,2013,Other,Washed / Wet,853.44,83.0
Guatemala,antigua,2014,Bourbon,Washed / Wet,1500.0,83.0
Costa Rica,central valley,2013,Catuai,Washed / Wet,1200.0,83.0
Brazil,sul de minas,2013,Yellow Bourbon,Semi-washed / Semi-pulped,1250.0,83.0
Colombia,huila,2013,Caturra,Washed / Wet,1775.0,83.0
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,83.0
Colombia,pitalito,2013,Caturra,Natural / Dry,1000.0,83.0
Colombia,pitalito,2013,Caturra,Natural / Dry,1000.0,83.0
Colombia,huila,2012,Caturra,Washed / Wet,1775.0,83.0
Mexico,coatepec,2012,Typica,Washed / Wet,750.0,83.0
Mexico,atoyac de alvarez,2012,Typica,Semi-washed / Semi-pulped,1200.0,83.0
Mexico,coatepec,2012,Bourbon,Washed / Wet,1200.0,83.0
Colombia,huila,2012,Caturra,Washed / Wet,1625.0,83.0
Colombia,huila,2012,Caturra,Washed / Wet,1750.0,83.0
Guatemala,"la reforma, san marcos",2012,Bourbon,Washed / Wet,1371.6,83.0
Colombia,la plata,2011,Caturra,Washed / Wet,1775.0,83.0
Nicaragua,matagalpa,2009,Caturra,,,83.0
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,82.92
El Salvador,apaneca,2017,Bourbon,Washed / Wet,1350.0,82.92
Colombia,guayata,2017,Caturra,Washed / Wet,1500.0,82.92
Taiwan,"dongshan dist., tainan city 臺南市東山區",2016,Caturra,Natural / Dry,350.0,82.92
Taiwan,台東太麻里,2014,Typica,Natural / Dry,775.0,82.92
Philippines,"bukidnon, mindanao, philppines",2015,Other,Washed / Wet,1200.0,82.92
Philippines,asia pacific,2014,Other,Washed / Wet,1600.0,82.92
Mexico,cuarenteño,2015,Typica,Natural / Dry,1059.0,82.92
Mexico,chiapas,2015,Bourbon,Washed / Wet,1300.0,82.92
Uganda,eastern,2013,SL14,Washed / Wet,1650.0,82.92
Uganda,west nile,2013,SL14,Washed / Wet,1400.0,82.92
Guatemala,antigua,2014,Bourbon,Washed / Wet,1500.0,82.92
Guatemala,antigua,2014,Caturra,Natural / Dry,1500.0,82.92
Colombia,huila,2013,Caturra,Washed / Wet,1900.0,82.92
Colombia,huila,2013,Caturra,Natural / Dry,1750.0,82.92
Guatemala,huehuetenango,2013,Bourbon,Washed / Wet,1706.88,82.92
Colombia,antioquia,2013,Other,Washed / Wet,1450.0,82.92
Mexico,petatlan,2012,Typica,Natural / Dry,1248.0,82.92
Vietnam,don duong,2012,Other,Natural / Dry,1040.0,82.92
Mexico,la cumbre,2012,Typica,Washed / Wet,1400.0,82.92
United States (Hawaii),kona,2012,Hawaiian Kona,Washed / Wet,,82.92
Kenya,nyeri,2017,SL28,Washed / Wet,1754.0,82.83
Guatemala,san marcos,2017,Bourbon,Washed / Wet,1700.0,82.83
Brazil,south of minas,2015,Yellow Bourbon,Pulped natural / honey,905.0,82.83
El Salvador,"el balsamo, quezaltepec",2016,Pacas,Washed / Wet,1250.0,82.83
Rwanda,gicumbi,2015,Bourbon,Washed / Wet,1900.0,82.83
Vietnam,vietnam tutra,2014,Other,Other,1040.0,82.83
Guatemala,oriente,2015,Bourbon,Washed / Wet,1219.2,82.83
Brazil,cerrado,2015,Catuai,Natural / Dry,900.0,82.83
Colombia,huila,2014,Other,Washed / Wet,1600.0,82.83
United States,berastagi,2014,Other,Other,1200.0,82.83
Guatemala,antigua,2014,Bourbon,Washed / Wet,1500.0,82.83
Colombia,santander,2013,Typica,Natural / Dry,1800.0,82.83
Colombia,huila,2013,Caturra,Washed / Wet,1775.0,82.83
Mexico,la concordia,2012,Caturra,Washed / Wet,1550.0,82.83
Mexico,veracruz,2012,Bourbon,Washed / Wet,1250.0,82.83
Guatemala,oriente,2012,Bourbon,Washed / Wet,1310.64,82.83
Mexico,la concordia,2012,Typica,Washed / Wet,1380.0,82.83
Guatemala,santa rosa,,Caturra,Washed / Wet,1100.0,82.75
Guatemala,santa rosa,2017,Caturra,Washed / Wet,1800.0,82.75
Guatemala,san marcos,2017,Bourbon,Washed / Wet,1700.0,82.75
Guatemala,santa rosa,2017,Bourbon,Washed / Wet,1219.2,82.75
Guatemala,oriente,2017,Bourbon,Washed / Wet,1219.2,82.75
Taiwan,"台南市東山區( dongshan dist., tainan city)",2016,Yellow Bourbon,Natural / Dry,650.0,82.75
El Salvador,cacahuatique,2017,Bourbon,Washed / Wet,1250.0,82.75
Costa Rica,tarrazu,2016,Caturra,Washed / Wet,1850.0,82.75
Honduras,comayagua,2017,Caturra,Natural / Dry,1400.0,82.75
Brazil,south of minas,2015,Yellow Bourbon,Pulped natural / honey,905.0,82.75
China,yunnan,2015,Catimor,Natural / Dry,1100.0,82.75
China,menglian,2015,Catimor,Washed / Wet,1500.0,82.75
Colombia,huila,2014,Caturra,Washed / Wet,1775.0,82.75
Malawi,mzuzu,2014,Gesha,Washed / Wet,1442.0,82.75
Guatemala,jalapa,2014,Pacas,Washed / Wet,1524.0,82.75
United States (Hawaii),kona,2013,Hawaiian Kona,Natural / Dry,,82.75
United States (Hawaii),kona,2013,Hawaiian Kona,Natural / Dry,,82.75
Colombia,antioquia,2013,Caturra,Washed / Wet,1300.0,82.75
Mexico,chiapas,2013,Typica,Washed / Wet,1550.0,82.75
Mexico,veracruz,2012,Typica,Washed / Wet,1200.0,82.75
Mexico,atoyac de alvarez,2012,Typica,Natural / Dry,1200.0,82.75
Colombia,south huila,2012,Caturra,Washed / Wet,1625.0,82.75
Colombia,huila,2012,Caturra,Washed / Wet,1775.0,82.75
United States (Hawaii),kona,2012,Hawaiian Kona,Washed / Wet,,82.75
Panama,boquete,2012,Catuai,Washed / Wet,1100.0,82.75
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,82.67
Brazil,south of minas,2016,Bourbon,Natural / Dry,934.0,82.67
Laos,"paksong,laos",2015,Catimor,Washed / Wet,1300.0,82.67
El Salvador,"el balsamo, quezaltepec",2016,Pacas,Washed / Wet,1200.0,82.67
Brazil,monte carmelo,2014,Catuai,Natural / Dry,,82.67
"Tanzania, United Republic Of",karatu arusha,2014,Other,Washed / Wet,1700.0,82.67
"Tanzania, United Republic Of",mbinga,2014,Bourbon,Washed / Wet,1550.0,82.67
Taiwan,嘉義阿里山,2014,Typica,Washed / Wet,1200.0,82.67
Mexico,la yerba,2014,Typica,Natural / Dry,1296.0,82.67
Uganda,mt elgon,2013,SL14,Washed / Wet,1650.0,82.67
Taiwan,chiayi alishan 嘉義縣阿里山鄉,2013,Typica,Washed / Wet,1240.0,82.67
Thailand,phahi,2013,Caturra,Washed / Wet,1500.0,82.67
Colombia,huila,2012,Caturra,Washed / Wet,1800.0,82.67
El Salvador,,2012,Other,Washed / Wet,,82.67
Guatemala,antigua,2012,Caturra,Washed / Wet,1500.0,82.67
Thailand,thailand,2012,Other,Washed / Wet,,82.67
Mexico,,2012,Other,Washed / Wet,1100.0,82.67
Mexico,mahuixtlan,2012,Typica,Washed / Wet,950.0,82.67
Guatemala,oriente,2017,Bourbon,Washed / Wet,1219.2,82.58
Taiwan,國姓鄉 guoshing township,2016,Typica,Pulped natural / honey,1050.0,82.58
Indonesia,aceh,2015,Typica,Semi-washed / Semi-pulped,1250.0,82.58
Thailand,chiangrai,2014,Caturra,Washed / Wet,1450.0,82.58
"Tanzania, United Republic Of",ikand village,2014,Other,Washed / Wet,1317.0,82.58
Uganda,eastern,2013,SL14,Natural / Dry,1650.0,82.58
Costa Rica,central valley,2013,Catuai,Washed / Wet,1300.0,82.58
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,82.58
Colombia,huila,2012,Caturra,Washed / Wet,1750.0,82.58
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,82.58
Mexico,oaxaca,2012,Typica,Washed / Wet,1250.0,82.58
Mexico,colima,2012,Typica,Washed / Wet,1150.0,82.58
Colombia,huila,2012,Caturra,Washed / Wet,1775.0,82.58
Brazil,south of minas,2011,Mundo Novo,,975.0,82.58
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,82.5
Indonesia,bali,2017,Other,Washed / Wet,1250.0,82.5
Honduras,comayagua,2017,Caturra,Washed / Wet,1400.0,82.5
Guatemala,oriente,2016,Bourbon,Washed / Wet,1219.2,82.5
Thailand,chiangrai,2014,Caturra,Washed / Wet,1450.0,82.5
"Tanzania, United Republic Of",karatu arusha,2014,Other,Washed / Wet,1600.0,82.5
"Tanzania, United Republic Of",moshi,2014,Other,Washed / Wet,,82.5
Mexico,chiapas,2013,Other,Washed / Wet,1600.0,82.5
Brazil,south of minas,2013,Yellow Bourbon,Semi-washed / Semi-pulped,1260.0,82.5
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,82.5
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,82.5
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,82.5
Mexico,san bartolo tutotepec,2012,Typica,Washed / Wet,1679.0,82.5
Mexico,zapotitlan de mendez,2012,Typica,Washed / Wet,1100.0,82.5
Mexico,la concordia,2012,Typica,Semi-washed / Semi-pulped,1650.0,82.5
Guatemala,oriente,2012,Caturra,Natural / Dry,,82.5
Brazil,carmo de minas,2012,Bourbon,Semi-washed / Semi-pulped,1250.0,82.5
Colombia,huila,2012,Caturra,Washed / Wet,1775.0,82.5
United States (Hawaii),kona,2012,Hawaiian Kona,Washed / Wet,,82.5
Honduras,"comayagua, honduras",2017,Other,Washed / Wet,1500.0,82.42
Guatemala,san marcos,2017,Bourbon,Washed / Wet,1700.0,82.42
Guatemala,san marcos,2016,Bourbon,Washed / Wet,1700.0,82.42
Guatemala,santa rosa,2017,Caturra,Washed / Wet,,82.42
Colombia,guayata,2016,Caturra,Washed / Wet,1600.0,82.42
China,yunnan,2015,Catimor,Washed / Wet,1600.0,82.42
Guatemala,atitlan,2013,Caturra,Washed / Wet,1400.0,82.42
Mexico,la yerba,2014,Typica,Washed / Wet,1296.0,82.42
Brazil,south of minas,2012,Catuai,Semi-washed / Semi-pulped,1000.0,82.42
Brazil,south of minas,2013,Yellow Bourbon,Natural / Dry,1260.0,82.42
Mexico,veracruz,2013,Bourbon,Washed / Wet,1170.0,82.42
Colombia,huila,2013,Caturra,Washed / Wet,1775.0,82.42
Mexico,chiapas,2013,Typica,Washed / Wet,1560.0,82.42
Mexico,san pedro cotzilnam,2012,Typica,Semi-washed / Semi-pulped,1400.0,82.42
Mexico,coatepec,2012,Typica,Washed / Wet,1300.0,82.42
Mexico,xalapa,2012,Caturra,Washed / Wet,1170.0,82.42
Mexico,zihuatanejo de azueta,2012,Typica,Washed / Wet,1300.0,82.42
Mexico,xicotepec de juarez,2012,Caturra,Washed / Wet,1150.0,82.42
Mexico,progreso santa rosa teocelo,2012,Bourbon,Washed / Wet,1250.0,82.42
Mexico,fln mirador,2012,Typica,Washed / Wet,1450.0,82.42
Colombia,huila,2012,Caturra,Natural / Dry,442.0,82.42
Colombia,huila,2011,Caturra,Washed / Wet,1750.0,82.42
Honduras,comayagua,2017,Caturra,Washed / Wet,1396.0,82.33
Brazil,cerrado,2016,Catuai,Natural / Dry,982.0,82.33
Brazil,south of minas,2016,Bourbon,Natural / Dry,934.0,82.33
Costa Rica,tarrazu,2015,Caturra,Washed / Wet,1850.0,82.33
Costa Rica,tarrazu,2015,Catuai,Washed / Wet,1550.0,82.33
China,xishuangbanna prefecture,2015,Catimor,Pulped natural / honey,1580.0,82.33
Brazil,south of minas,2015,Bourbon,Natural / Dry,1268.0,82.33
Brazil,chapadão de ferro (cerrado mineiro),2015,Mundo Novo,Natural / Dry,,82.33
Guatemala,huehuetenango,2015,Bourbon,Washed / Wet,1676.4,82.33
Malawi,mzuzu,2014,Gesha,Washed / Wet,1450.0,82.33
Brazil,south of minas,2014,Bourbon,Natural / Dry,1100.0,82.33
Guatemala,jalapa,2014,Pacas,Washed / Wet,1524.0,82.33
Colombia,antioquia,2013,Caturra,Washed / Wet,1300.0,82.33
Taiwan,changhua baguashan 彰化市八卦山,2013,Typica,Semi-washed / Semi-pulped,200.0,82.33
Taiwan,taichung xinshe 台中市新社區,2013,Typica,Washed / Wet,600.0,82.33
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,82.33
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,82.33
Mexico,"la concordia, chiapas",2013,Typica,Washed / Wet,1300.0,82.33
Guatemala,jalapa,2012,Bourbon,Washed / Wet,1752.6,82.33
Mexico,"jaltocan, hidalgo",2012,Typica,Natural / Dry,441.0,82.33
Mexico,veracruz,2012,Bourbon,Washed / Wet,1170.0,82.33
Guatemala,oriente,2012,Bourbon,Washed / Wet,1310.64,82.33
Brazil,grama valley,2012,Mundo Novo,Natural / Dry,1100.0,82.33
Mexico,santa catarina juquila,2012,Typica,Washed / Wet,1300.0,82.33
Brazil,south of minas,2012,Mundo Novo,Washed / Wet,950.0,82.33
Colombia,huila,2012,Caturra,Natural / Dry,442.0,82.33
Brazil,brazil matas de minas,,Catuai,Washed / Wet,1100.0,82.25
Guatemala,nuevo oriente,2016,Pacas,Washed / Wet,1450.0,82.25
El Salvador,apaneca,2014,Bourbon,Washed / Wet,1500.0,82.25
Honduras,marcala,2015,Catuai,Washed / Wet,1350.0,82.25
Malawi,mzuzu,2014,Gesha,Washed / Wet,1180.0,82.25
Brazil,south of minas,2014,Bourbon,Natural / Dry,1100.0,82.25
Taiwan,nantou,2013,Typica,Washed / Wet,650.0,82.25
Mexico,veracruz,2013,Mundo Novo,Washed / Wet,1338.0,82.25
United States (Hawaii),kona,2013,Hawaiian Kona,Natural / Dry,,82.25
Mexico,"calnali, hidalgo",2012,Bourbon,Washed / Wet,533.0,82.25
Guatemala,antigua,2012,Bourbon,Washed / Wet,1390.8024,82.25
Mexico,veracruz,2012,Bourbon,Washed / Wet,1170.0,82.25
Mexico,juquila,2012,Typica,Washed / Wet,1250.0,82.25
El Salvador,,2012,Other,Washed / Wet,,82.25
Mexico,veracruz,2012,Typica,Washed / Wet,1100.0,82.25
Mexico,canoas,2012,Typica,Washed / Wet,900.0,82.25
Colombia,huila,2012,Caturra,Washed / Wet,1750.0,82.25
Colombia,huila,2012,Caturra,Washed / Wet,1775.0,82.25
Brazil,south of minas,2016,Bourbon,Natural / Dry,934.0,82.17
Honduras,comayagua,2015,Caturra,Washed / Wet,1500.0,82.17
"Tanzania, United Republic Of",ruvuma,2015,Bourbon,Washed / Wet,1650.0,82.17
"Tanzania, United Republic Of",northern,2015,Other,Washed / Wet,1600.0,82.17
Honduras,marcala,2015,Catuai,Washed / Wet,1350.0,82.17
Guatemala,atitlan,2014,Bourbon,Washed / Wet,1500.0,82.17
Brazil,cerrado,2014,Mundo Novo,Natural / Dry,,82.17
"Tanzania, United Republic Of","ilomba vilage, mbozi",2014,Other,Washed / Wet,1700.0,82.17
Mexico,veracruz,2013,Other,Washed / Wet,1100.0,82.17
Mexico,"la concordia, chiapas",2013,Other,Washed / Wet,1400.0,82.17
Taiwan,yunlin 雲林縣石壁,2013,Typica,Other,1200.0,82.17
Taiwan,"dongshan dist., tainan city 臺南市東山區",2012,Typica,Washed / Wet,800.0,82.17
Colombia,huila,2013,Caturra,Washed / Wet,1750.0,82.17
Mexico,san bartolo tutotepec,2012,Typica,Washed / Wet,1144.0,82.17
Guatemala,oriente,2012,Caturra,Washed / Wet,1350.0,82.17
Mexico,altotonga,2012,Typica,Washed / Wet,1000.0,82.17
Mexico,colima,2012,Typica,Washed / Wet,1200.0,82.17
Indonesia,aceh gayo,2017,Bourbon,Washed / Wet,1300.0,82.08
Colombia,huila,2016,Caturra,Washed / Wet,,82.08
Brazil,south of minas,2016,Bourbon,Natural / Dry,894.0,82.08
Costa Rica,tres rios,2015,Caturra,Washed / Wet,1300.0,82.08
"Tanzania, United Republic Of",kilimanjaro,2014,Bourbon,Washed / Wet,1500.0,82.08
"Tanzania, United Republic Of",ngorogoro,2014,Other,Washed / Wet,1600.0,82.08
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,82.08
Mexico,coatepec,2012,Typica,Washed / Wet,1300.0,82.08
Mexico,tapachula,2012,Typica,Washed / Wet,1800.0,82.08
Mexico,coatepec,2012,Typica,Washed / Wet,1250.0,82.08
Vietnam,don duong,2012,Other,Natural / Dry,1040.0,82.08
Mexico,veracruz,2012,Typica,Washed / Wet,1250.0,82.08
United States (Hawaii),kona,2012,Hawaiian Kona,Washed / Wet,,82.08
Honduras,el paraíso,2017,Caturra,Washed / Wet,1600.0,82.0
Honduras,guinope el paraíso,2016,Caturra,Natural / Dry,1600.0,82.0
Brazil,south of minas,2016,Bourbon,Natural / Dry,944.0,82.0
"Tanzania, United Republic Of",kilimanjaro,2015,Other,Washed / Wet,1650.0,82.0
Laos,lao p.d.r.,2015,Other,Washed / Wet,1250.0,82.0
"Tanzania, United Republic Of",meru,2014,Other,Washed / Wet,1350.0,82.0
Malawi,mzuzu,2014,Gesha,Washed / Wet,2500.0,82.0
Taiwan,"dongshan dist., tainan city 臺南市東山區",2013,Typica,Washed / Wet,600.0,82.0
Costa Rica,central valley,2013,Catuai,Washed / Wet,1300.0,82.0
Honduras,occidental,2014,Caturra,Washed / Wet,1400.0,82.0
Colombia,huila,2013,Caturra,Washed / Wet,1900.0,82.0
Taiwan,"dongshan dist., tainan city 臺南市東山區",2012,Typica,Washed / Wet,650.0,82.0
Brazil,"minas gerais, br",2012,Mundo Novo,Natural / Dry,1038.5,82.0
Mexico,coscomatepec,2012,Typica,Washed / Wet,940.0,82.0
Brazil,south of minas,2012,Mundo Novo,Natural / Dry,1000.0,82.0
Brazil,cerrado,2012,Catuai,Semi-washed / Semi-pulped,1050.0,82.0
Guatemala,san marcos,2012,Bourbon,Natural / Dry,,82.0
Brazil,south of minas,2012,Mundo Novo,Semi-washed / Semi-pulped,950.0,82.0
Guatemala,oriente,2012,Bourbon,Washed / Wet,1402.08,82.0
Colombia,huila,,Caturra,,1775.0,82.0
Guatemala,oriente,2017,Bourbon,Washed / Wet,1901.0,81.92
Guatemala,santa rosa,2017,Bourbon,Washed / Wet,1219.2,81.92
Honduras,comayagua,2017,Caturra,Washed / Wet,1400.0,81.92
Brazil,monte carmelo,2016,Catuai,Natural / Dry,1020.0,81.92
El Salvador,"el balsamo, quezaltepec",2014,Bourbon,Washed / Wet,1250.0,81.92
Guatemala,nuevo oriente,2015,Catuai,Washed / Wet,1550.0,81.92
"Tanzania, United Republic Of",mbeya,2014,Other,Washed / Wet,1877.0,81.92
Zambia,mubuyu estate,2014,SL28,Washed / Wet,1250.0,81.92
Taiwan,taichung xinshe 台中市新社區,2012,Typica,Other,1000.0,81.92
Mexico,chiapas,2013,Bourbon,Washed / Wet,1300.0,81.92
Mexico,"chapulhuacan, hidalgo",2012,Typica,Semi-washed / Semi-pulped,981.0,81.92
Mexico,"huazalingo, hidalgo",2012,Mundo Novo,Washed / Wet,690.0,81.92
Mexico,veracruz,2012,Other,Washed / Wet,1650.0,81.92
Mexico,fortín de las flores,2012,Bourbon,Washed / Wet,1000.0,81.92
Brazil,grama valley,2012,Mundo Novo,Natural / Dry,1100.0,81.92
Costa Rica,tarrazu,2016,Catuai,Pulped natural / honey,1900.0,81.83
Brazil,monte carmelo,2016,Mundo Novo,Natural / Dry,973.0,81.83
Indonesia,bali,2015,Other,Other,1250.0,81.83
Guatemala,norte,2015,Bourbon,Washed / Wet,3280.0,81.83
Myanmar,ywar ngan,2015,Catuai,Washed / Wet,4001.0,81.83
Mexico,chiapas,2015,Catuai,Washed / Wet,1425.0,81.83
Honduras,marcala,2015,Catuai,Washed / Wet,1400.0,81.83
Costa Rica,tres rios,2015,Caturra,Washed / Wet,1300.0,81.83
Taiwan,"dongshan dist., tainan city 臺南市東山區",2014,Typica,Washed / Wet,700.0,81.83
Indonesia,lington nihuta,2014,Typica,Other,1300.0,81.83
Malawi,kakoma,2014,Gesha,Washed / Wet,1556.0,81.83
Brazil,south of minas,2014,Bourbon,Natural / Dry,1100.0,81.83
Honduras,comayagua,2014,Caturra,Natural / Dry,1350.0,81.83
Mexico,"siltepec el triunfo, chiapas, mexico",2014,Typica,Washed / Wet,1550.0,81.83
Colombia,huila,2013,Caturra,Washed / Wet,1775.0,81.83
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,81.83
Brazil,sul de minas,2012,Bourbon,Semi-washed / Semi-pulped,1250.0,81.83
Guatemala,oriente,2013,Bourbon,Washed / Wet,1310.64,81.83
Mexico,veracruz,2012,Bourbon,Washed / Wet,1500.0,81.83
Mexico,coatepec,2012,Typica,Semi-washed / Semi-pulped,1250.0,81.83
Brazil,cerrado,2011,Mundo Novo,,925.0,81.83
Guatemala,san marcos,2017,Bourbon,Washed / Wet,1700.0,81.75
Vietnam,vietnam,2014,Caturra,Washed / Wet,1040.0,81.75
"Tanzania, United Republic Of",ngorogoro,2014,Other,Washed / Wet,1600.0,81.75
Mexico,"tenango de doria, hidalgo",2012,Bourbon,Washed / Wet,774.0,81.75
Mexico,tepictla,2012,Mundo Novo,Washed / Wet,1250.0,81.75
Mexico,oaxaca,2012,Typica,Washed / Wet,1100.0,81.75
Mexico,la concordia,2012,Caturra,Washed / Wet,1550.0,81.75
Mexico,la concordia,2012,Typica,Washed / Wet,1650.0,81.75
Colombia,huila,2011,Caturra,Washed / Wet,1750.0,81.75
Brazil,south of minas,2017,Bourbon,Natural / Dry,890.0,81.67
Guatemala,san marcos,2017,Bourbon,Washed / Wet,1700.0,81.67
Guatemala,santa rosa,2017,Bourbon,Washed / Wet,1219.2,81.67
Honduras,marcala,2016,Catuai,Washed / Wet,1450.0,81.67
"Tanzania, United Republic Of",mbinga,2014,Other,Washed / Wet,1500.0,81.67
"Tanzania, United Republic Of","ilomba vilage, mbozi",2013,Other,Washed / Wet,1700.0,81.67
Brazil,south of minas,2014,Bourbon,Washed / Wet,1260.0,81.67
Honduras,comayagua,2014,Caturra,Natural / Dry,1400.0,81.67
Costa Rica,tarrazu,2013,Caturra,Washed / Wet,1850.0,81.67
Taiwan,nantou,2013,Typica,Washed / Wet,750.0,81.67
Mexico,"la concordia, chiapas",2013,Typica,Washed / Wet,1400.0,81.67
Guatemala,jalapa,2012,Bourbon,Washed / Wet,1752.6,81.67
Mexico,tuxtla gutierrez,2012,Typica,Washed / Wet,1650.0,81.67
Mexico,yajalon,2012,Bourbon,Washed / Wet,1400.0,81.67
Mexico,veracruz,2012,Bourbon,Washed / Wet,1200.0,81.67
Mexico,"la concordia, chiapas",2012,Bourbon,Washed / Wet,1400.0,81.67
